CIP,C,13	NOM_COURT,C,50	CODE_GRP,N,6,0	NOM_GRP_G,C,124	CODE_ATC,C,10	CLASSE_ATC,C,77	DT_DEB_AFS,D	DT_FIN_AFS,D	DEBUT_REMB,D	FIN_REMB,D
3400921626179	LEVETIRACETAM TVC 1000MG CPR 60	1021	KEPPRA 1000MG CPR	N03AX14	LEVETIRACETAM	10/05/12		23/11/11	
3400921633382	ESOMEPRAZOLE ARW 20MG CPR 7	944	INEXIUM 20MG CPR	A02BC05	ESOMEPRAZOLE	22/03/12		19/10/11	
3400921633443	ESOMEPRAZOLE ARW 20MG CPR 14	944	INEXIUM 20MG CPR	A02BC05	ESOMEPRAZOLE	22/03/12		19/10/11	
3400921633672	ESOMEPRAZOLE ARW 20MG CPR 28	944	INEXIUM 20MG CPR	A02BC05	ESOMEPRAZOLE	22/03/12		19/10/11	
3400921634792	ESOMEPRAZOLE ARW 40MG CPR 14	945	INEXIUM 40MG CPR	A02BC05	ESOMEPRAZOLE	22/03/12		19/10/11	
3400921634914	ESOMEPRAZOLE ARW 40MG CPR 28	945	INEXIUM 40MG CPR	A02BC05	ESOMEPRAZOLE	22/03/12		19/10/11	
3400921636116	LETROZOLE CRT 2,5MG CPR 30	882	FEMARA 2,5MG CPR	L02BG04	LETROZOLE	22/03/12		19/10/11	
3400921643497	LOSARTAN HCTZ MYP 100/12,5MG CPR 28	821	FORTZAAR 100MG/12,5MG CPR	C09DA01	LOSARTAN ET DIURETIQUES	22/03/12		05/07/12	
3400921644098	LOSARTAN HCTZ MYP 100/12,5MG CPR 90	821	FORTZAAR 100MG/12,5MG CPR	C09DA01	LOSARTAN ET DIURETIQUES	22/03/12		05/07/12	
3400921650181	ATORVASTATINE ZEN 80MG CPR 30	898	TAHOR 80MG CPR	C10AA05	ATORVASTATINE	10/05/12		08/03/12	
3400921650471	ATORVASTATINE ZEN 80MG CPR 90	898	TAHOR 80MG CPR	C10AA05	ATORVASTATINE	10/05/12		08/03/12	
3400921650990	ATORVASTATINE ZEN 10MG CPR 30	895	TAHOR 10MG CPR                      | TAHOR 10MG CPR CROQ	C10AA05	ATORVASTATINE	10/05/12		08/03/12	
3400921651362	ATORVASTATINE ZEN 10MG CPR 90	895	TAHOR 10MG CPR                      | TAHOR 10MG CPR CROQ	C10AA05	ATORVASTATINE	10/05/12		08/03/12	
3400921651881	ATORVASTATINE ZEN 20MG CPR 30	896	TAHOR 20MG CPR	C10AA05	ATORVASTATINE	10/05/12		08/03/12	
3400921652192	ATORVASTATINE ZEN 20MG CPR 90	896	TAHOR 20MG CPR	C10AA05	ATORVASTATINE	10/05/12		08/03/12	
3400921653663	DOXAZOSINE MYL LP 4MG CPR 28	798	ZOXAN LP 4MG CPR	C02CA04	DOXAZOSINE	21/02/14		04/12/13	
3400921654783	EXEMESTANE RBX 25MG CPR 30	881	AROMASINE 25MG CPR	L02BG06	EXEMESTANE	10/05/12		23/11/11	
3400921655674	DOXAZOSINE ACT LP 8MG CPR CA 28	1082	ZOXAN LP 8MG CPR LP	G04CA	ALPHABLOQUANTS	21/02/14		20/09/12	
3400921656794	DOXAZOSINE MYL LP 8MG CPR 28	1082	ZOXAN LP 8MG CPR LP	G04CA	ALPHABLOQUANTS	24/07/13		14/06/13	
3400921659177	DESLORATADINE MYP 5MG CPR 15	1029	AERIUS 5MG CPR	R06AX27	DESLORATADINE	22/03/12		04/11/11	
3400921659528	DESLORATADINE MYP 5MG CPR 30	1029	AERIUS 5MG CPR	R06AX27	DESLORATADINE	22/03/12		04/11/11	
3400921659696	DONEPEZIL BGA 5MG CPR 28	928	ARICEPT 5MG CPR                     | ARICEPT 5MG CPR ORODISP	N06DA02	DONEPEZIL	22/03/12		08/02/12	
3400921659986	DONEPEZIL BGA 10MG CPR 28	929	ARICEPT 10MG CPR                    | ARICEPT 10MG CPR ORODISP	N06DA02	DONEPEZIL	22/03/12		08/02/12	
3400921662078	AMOROLFINE RBX 5% VERNIS MED 20SP 1/2,5 ML	815	LOCERYL 5% VERNIS MEDICAMENTEUX	D01AE16	AMOROLFINE	22/03/12		04/11/11	
3400921663839	ATORVASTATINE ISD 10MG CPR 28	895	TAHOR 10MG CPR                      | TAHOR 10MG CPR CROQ	C10AA05	ATORVASTATINE	10/05/12		12/04/12	
3400921664379	ATORVASTATINE ISD 10MG CPR 90	895	TAHOR 10MG CPR                      | TAHOR 10MG CPR CROQ	C10AA05	ATORVASTATINE	10/05/12		12/04/12	
3400921664430	ATORVASTATINE ISD 20MG CPR 28	896	TAHOR 20MG CPR	C10AA05	ATORVASTATINE	10/05/12		12/04/12	
3400921664959	ATORVASTATINE ISD 20MG CPR 90	896	TAHOR 20MG CPR	C10AA05	ATORVASTATINE	10/05/12		12/04/12	
3400921665321	DIACEREINE ZYD 50MG GELULE 30	730	ART 50MG GELULE                     | ZONDAR 50MG GELULE	M01AX21	DIACEREINE	22/03/12		29/10/11	14/07/13
3400921665550	ATORVASTATINE ISD 40MG CPR 28	897	TAHOR 40MG CPR	C10AA05	ATORVASTATINE	10/05/12		12/04/12	
3400921665901	ATORVASTATINE ISD 40MG CPR 90	897	TAHOR 40MG CPR	C10AA05	ATORVASTATINE	10/05/12		12/04/12	
3400921666090	ATORVASTATINE ISD 80MG CPR 28	898	TAHOR 80MG CPR	C10AA05	ATORVASTATINE	10/05/12		12/04/12	
3400921666441	ATORVASTATINE ISD 80MG CPR 90	898	TAHOR 80MG CPR	C10AA05	ATORVASTATINE	10/05/12		12/04/12	
3400921672534	GLIMEPIRIDE AHL 1MG CPR 90	516	AMAREL 1MG CPR	A10BB12	GLIMEPIRIDE	10/02/09		29/10/11	
3400921672763	GLIMEPIRIDE AHL 2MG CPR 90	517	AMAREL 2MG CPR	A10BB12	GLIMEPIRIDE	10/02/09		29/10/11	
3400921672824	GLIMEPIRIDE AHL 3MG CPR 90	518	AMAREL 3MG CPR	A10BB12	GLIMEPIRIDE	10/02/09		29/10/11	
3400921672992	GLIMEPIRIDE AHL 4MG CPR 90	519	AMAREL 4MG CPR	A10BB12	GLIMEPIRIDE	10/02/09		29/10/11	
3400921673074	ALLOPURINOL ZTV 100MG CPR 28	215	ZYLORIC 100MG CPR	M04AA01	ALLOPURINOL	10/05/12		30/12/11	
3400921675894	ALLOPURINOL ZTV 200MG CPR 1	181	ZYLORIC 200MG CPR	M04AA01	ALLOPURINOL	10/05/12		30/12/11	
3400921676266	ALLOPURINOL ZTV 300MG CPR 28	149	ZYLORIC 300MG CPR	M04AA01	ALLOPURINOL	10/05/12		30/12/11	
3400921686951	ATENOLOL ZEN 50MG CPR 30	228	TENORMINE 50MG CPR	C07AB03	ATENOLOL	28/06/12		12/04/12	
3400921687262	ATENOLOL ZEN 50MG CPR 90	228	TENORMINE 50MG CPR	C07AB03	ATENOLOL	28/06/12		10/10/12	
3400921687491	ALFUZOSINE ISD LP 10MG CPR 30	501	XATRAL LP 10MG CPR	G04CA01	ALFUZOSINE	10/05/12		23/11/11	
3400921689273	PERINDOPRIL EVO 2MG CPR 30	575	COVERSYL 2,5MG CPR                  | PERINDOPRIL SERVIER 2MG CPR	C09AA04	PERINDOPRIL	25/07/12		05/07/12	
3400921689914	EBASTINE TEVA 10MG CPR ORODISP 30	1041	KESTINLYO 10MG LYOPHILISAT ORAL	R06AX22	EBASTINE	19/06/12		30/12/11	
3400921690682	PERINDOPRIL EVO 4MG CPR 30	579	COVERSYL 5MG CPR                    | PERINDOPRIL SERVIER 4MG CPR	C09AA04	PERINDOPRIL	25/07/12		05/07/12	
3400921691115	OLANZAPINE BLF 5MG CPR DISP 28	967	ZYPREXA VELOTAB 5MG CPR	N05AH03	OLANZAPINE	22/03/12		23/11/11	
3400921691924	RIZATRIPTAN EG 5MG CPR 12	1088	MAXALT 5MG CPR	N02CC04	RIZATRIPTAN	22/05/12		05/04/13	
3400921692525	RIZATRIPTAN EG 10MG CPR 12	1089	MAXALT 10MG CPR	N02CC04	RIZATRIPTAN	22/05/12		05/04/13	
3400921693416	OLANZAPINE BLF 10MG CPR DISP 28	968	ZYPREXA VELOTAB 10MG CPR	N05AH03	OLANZAPINE	22/03/12		23/11/11	
3400921694017	PERINDOPRIL EVO 8MG CPR 30	582	COVERSYL 10MG CPR                   | PERINDOPRIL SERVIER 8MG CPR	C09AA04	PERINDOPRIL	25/07/12		05/07/12	
3400921694994	ATENOLOL ZEN 100MG CPR 30	22	TENORMINE 100MG CPR	C07AB03	ATENOLOL	28/06/12		12/04/12	
3400921695137	ATENOLOL ZEN 100MG CPR 90	22	TENORMINE 100MG CPR	C07AB03	ATENOLOL	28/06/12		10/10/12	
3400921703214	VALSARTAN ALT 80MG CPR 30	854	NISIS 80MG CPR                      | TAREG 80MG CPR	C09CA03	VALSARTAN	10/05/12		30/12/11	
3400921703504	VALSARTAN ALT 80MG CPR 90	854	NISIS 80MG CPR                      | TAREG 80MG CPR	C09CA03	VALSARTAN	10/05/12		30/12/11	
3400921708707	DONEPEZIL KRK 5MG CPR 28	928	ARICEPT 5MG CPR                     | ARICEPT 5MG CPR ORODISP	N06DA02	DONEPEZIL	28/06/12		03/08/12	
3400921709247	DONEPEZIL KRK 10MG CPR 28	929	ARICEPT 10MG CPR                    | ARICEPT 10MG CPR ORODISP	N06DA02	DONEPEZIL	28/06/12		03/08/12	
3400921718812	CANDESARTAN ACT 4MG CPR 30	959	ATACAND 4MG CPR                     | KENZEN 4MG CPR	C09CA06	CANDESARTAN	10/05/12		07/03/12	
3400921719123	CANDESARTAN ACT 4MG CPR 90	959	ATACAND 4MG CPR                     | KENZEN 4MG CPR	C09CA06	CANDESARTAN	10/05/12		07/03/12	
3400921719642	CANDESARTAN ACT 8MG CPR 30	960	ATACAND 8MG CPR                     | KENZEN 8MG CPR	C09CA06	CANDESARTAN	10/05/12		07/03/12	
3400921719932	CANDESARTAN ACT 8MG CPR 90	960	ATACAND 8MG CPR                     | KENZEN 8MG CPR	C09CA06	CANDESARTAN	10/05/12		07/03/12	
3400921720471	CANDESARTAN ACT 16MG CPR 30	961	ATACAND 16MG CPR                    | KENZEN 16MG CPR	C09CA06	CANDESARTAN	10/05/12		07/03/12	
3400921720822	CANDESARTAN ACT 16MG CPR 90	961	ATACAND 16MG CPR                    | KENZEN 16MG CPR	C09CA06	CANDESARTAN	10/05/12		07/03/12	
3400921721362	CANDESARTAN ACT 32MG CPR 30	962	ATACAND 32MG CPR                    | KENZEN 32MG CPR	C09CA06	CANDESARTAN	10/05/12		07/03/12	
3400921721942	CITALOPRAM BLF 20MG CPR 30	320	SEROPRAM 20MG CPR	N06AB04	CITALOPRAM	10/05/12		12/04/12	
3400921722192	LISINOPRIL HCTZ ZYD 20/12,5MG CPR 30	409	PRINZIDE 20MG/12,5MG CPR            | ZESTORETIC 20MG/12,5MG CPR	C09BA03	LISINOPRIL ET DIURETIQUES	10/05/12		23/11/11	
3400921722253	LISINOPRIL HCTZ ZYD 20/12,5MG CPR 90	409	PRINZIDE 20MG/12,5MG CPR            | ZESTORETIC 20MG/12,5MG CPR	C09BA03	LISINOPRIL ET DIURETIQUES	10/05/12		23/11/11	
3400921723953	CANDESARTAN/HCTZ ACT 8/12,5 CPR 30	963	COKENZEN 8MG/12,5MG CPR	C09DA06	CANDESARTAN ET DIURETIQUES	10/05/12		07/03/12	
3400921724325	CANDESARTAN/HCTZ ACT 8/12,5 CPR 90	963	COKENZEN 8MG/12,5MG CPR	C09DA06	CANDESARTAN ET DIURETIQUES	10/05/12		07/03/12	
3400921724783	CANDESARTAN/HCTZ ACT 16/12,5 CPR 30	964	COKENZEN 16MG/12,5MG CPR	C09DA06	CANDESARTAN ET DIURETIQUES	10/05/12		07/03/12	
3400921725094	CANDESARTAN/HCTZ ACT 16/12,5 CPR 90	964	COKENZEN 16MG/12,5MG CPR	C09DA06	CANDESARTAN ET DIURETIQUES	10/05/12		07/03/12	
3400921728118	CANDESARTAN/HCTZ ARW 8/12,5 CPR 30	963	COKENZEN 8MG/12,5MG CPR	C09DA06	CANDESARTAN ET DIURETIQUES	08/01/13		26/01/12	
3400921728408	CANDESARTAN/HCTZ ARW 8/12,5 CPR 90	963	COKENZEN 8MG/12,5MG CPR	C09DA06	CANDESARTAN ET DIURETIQUES	08/01/13		26/01/12	
3400921729177	CANDESARTAN/HCTZ ARW 16/12,5 CPR 30	964	COKENZEN 16MG/12,5MG CPR	C09DA06	CANDESARTAN ET DIURETIQUES	08/01/13		26/01/12	
3400921729696	CANDESARTAN/HCTZ ARW 16/12,5 CPR 90	964	COKENZEN 16MG/12,5MG CPR	C09DA06	CANDESARTAN ET DIURETIQUES	08/01/13		26/01/12	
3400921738681	CANDESARTAN BGA 32MG CPR 30	962	ATACAND 32MG CPR                    | KENZEN 32MG CPR	C09CA06	CANDESARTAN	10/05/12		07/03/12	
3400921739404	CANDESARTAN ZYD 32MG CPR 30	962	ATACAND 32MG CPR                    | KENZEN 32MG CPR	C09CA06	CANDESARTAN	10/05/12		12/04/12	
3400921740233	ATORVASTATINE BGR 10MG CPR 30	895	TAHOR 10MG CPR                      | TAHOR 10MG CPR CROQ	C10AA05	ATORVASTATINE	22/11/12		08/03/12	
3400921740813	ATORVASTATINE BGR 10MG CPR 90	895	TAHOR 10MG CPR                      | TAHOR 10MG CPR CROQ	C10AA05	ATORVASTATINE	22/11/12		08/03/12	
3400921741292	ATORVASTATINE BGR 20MG CPR 30	896	TAHOR 20MG CPR	C10AA05	ATORVASTATINE	22/11/12		08/03/12	
3400921741704	ATORVASTATINE BGR 20MG CPR 90	896	TAHOR 20MG CPR	C10AA05	ATORVASTATINE	22/11/12		08/03/12	
3400921742183	ATORVASTATINE BGR 40MG CPR 30	897	TAHOR 40MG CPR	C10AA05	ATORVASTATINE	22/11/12		08/03/12	
3400921742763	ATORVASTATINE BGR 40MG CPR 90	897	TAHOR 40MG CPR	C10AA05	ATORVASTATINE	22/11/12		08/03/12	
3400921743364	ATORVASTATINE BGR 80MG CPR 30	898	TAHOR 80MG CPR	C10AA05	ATORVASTATINE	22/11/12		08/03/12	
3400921743883	ATORVASTATINE BGR 80MG CPR 90	898	TAHOR 80MG CPR	C10AA05	ATORVASTATINE	22/11/12		08/03/12	
3400921748857	DESLORATADINE ZEN 5MG CPR 15	1029	AERIUS 5MG CPR	R06AX27	DESLORATADINE	11/09/12		25/11/11	
3400921749229	DESLORATADINE ZEN 5MG CPR 30	1029	AERIUS 5MG CPR	R06AX27	DESLORATADINE	11/09/12		25/11/11	
3400921752649	ZOMETA 4MG/100ML PERF FL 1/100 ML	1080	ZOMETA 4MG/100ML PERF FL	M05BA08	ZOLEDRONIQUE ACIDE	03/07/13		09/05/12	
3400921758733	CLOPIDOGREL ZYF 75MG CPR 30	788	PLAVIX 75MG CPR	B01AC04	CLOPIDOGREL	10/05/12		10/12/11	
3400921761405	DESLORATADINE EG 0,5MG/ML BUV 150ML 1/150 ML	1030	AERIUS 0,5MG/ML SOL BUV	R06AX27	DESLORATADINE	22/11/12		10/12/11	
3400921763645	DESLORATADINE ARW 0,5MG/ML BUV 150ML 1/150 ML	1030	AERIUS 0,5MG/ML SOL BUV	R06AX27	DESLORATADINE	11/09/12		23/11/11	
3400921763706	RISEDRONATE SDZ 75MG CPR 2	996	ACTONEL 75MG CPR	M05BA07	RISEDRONIQUE ACIDE	22/11/12		09/11/12	
3400921763935	RISEDRONATE SDZ 75MG CPR 6	996	ACTONEL 75MG CPR	M05BA07	RISEDRONIQUE ACIDE	22/11/12		09/11/12	
3400921765717	BENAZEPRIL ACT 5MG CPR 30	690	BRIEM 5MG CPR                       | CIBACENE 5MG CPR	C09AA07	BENAZEPRIL	10/05/12		07/03/12	
3400921767728	BENAZEPRIL ACT 10MG CPR 30	689	BRIEM 10MG CPR                      | CIBACENE 10MG CPR	C09AA07	BENAZEPRIL	10/05/12		07/03/12	
3400921768268	BENAZEPRIL ACT 10MG CPR 90	689	BRIEM 10MG CPR                      | CIBACENE 10MG CPR	C09AA07	BENAZEPRIL	10/05/12		07/03/12	
3400921777024	RILUZOLE SDZ 50MG CPR 56	1056	RILUTEK 50MG CPR	N07XX02	RILUZOLE	10/05/12		12/07/12	
3400921782165	IRBESARTAN HCTZ MYP 150/12,5MG CPR 30	974	COAPROVEL 150/12,5MG CPR            | COAPROVEL 150/12,5MG CPR DU	C09DA04	IRBESARTAN ET DIURETIQUES	08/01/13		08/09/12	
3400921782455	IRBESARTAN HCTZ MYP 150/12,5MG CPR 90	974	COAPROVEL 150/12,5MG CPR            | COAPROVEL 150/12,5MG CPR DU	C09DA04	IRBESARTAN ET DIURETIQUES	08/01/13		08/09/12	
3400921782745	IRBESARTAN HCTZ MYP 300/12,5MG CPR 30	975	COAPROVEL 300/12,5MG CPR            | COAPROVEL 300/12,5MG CPR DU	C09DA04	IRBESARTAN ET DIURETIQUES	08/01/13		08/09/12	
3400921783056	IRBESARTAN HCTZ MYP 300/12,5MG CPR 90	975	COAPROVEL 300/12,5MG CPR            | COAPROVEL 300/12,5MG CPR DU	C09DA04	IRBESARTAN ET DIURETIQUES	08/01/13		08/09/12	
3400921783285	IRBESARTAN HCTZ MYP 300/25MG CPR 30	1003	COAPROVEL 300/25MG CPR              | COAPROVEL 300/25MG CPR DU	C09DA04	IRBESARTAN ET DIURETIQUES	08/01/13		08/09/12	
3400921783575	IRBESARTAN HCTZ MYP 300/25MG CPR 90	1003	COAPROVEL 300/25MG CPR              | COAPROVEL 300/25MG CPR DU	C09DA04	IRBESARTAN ET DIURETIQUES	08/01/13		08/09/12	
3400921783926	IRBESARTAN HCTZ CRT 150/12,5MG CPR 30	974	COAPROVEL 150/12,5MG CPR            | COAPROVEL 150/12,5MG CPR DU	C09DA04	IRBESARTAN ET DIURETIQUES	24/10/13		17/07/13	
3400921784237	IRBESARTAN HCTZ CRT 150/12,5MG CPR 90	974	COAPROVEL 150/12,5MG CPR            | COAPROVEL 150/12,5MG CPR DU	C09DA04	IRBESARTAN ET DIURETIQUES	24/10/13		17/07/13	
3400921784695	IRBESARTAN HCTZ CRT 300/12,5MG CPR 30	975	COAPROVEL 300/12,5MG CPR            | COAPROVEL 300/12,5MG CPR DU	C09DA04	IRBESARTAN ET DIURETIQUES	24/10/13		17/07/13	
3400921784985	IRBESARTAN HCTZ CRT 300/12,5MG CPR 90	975	COAPROVEL 300/12,5MG CPR            | COAPROVEL 300/12,5MG CPR DU	C09DA04	IRBESARTAN ET DIURETIQUES	24/10/13		17/07/13	
3400921785296	IRBESARTAN HCTZ CRT 300/25MG CPR 30	1003	COAPROVEL 300/25MG CPR              | COAPROVEL 300/25MG CPR DU	C09DA04	IRBESARTAN ET DIURETIQUES	24/10/13		17/07/13	
3400921785586	IRBESARTAN HCTZ CRT 300/25MG CPR 90	1003	COAPROVEL 300/25MG CPR              | COAPROVEL 300/25MG CPR DU	C09DA04	IRBESARTAN ET DIURETIQUES	24/10/13		17/07/13	
3400921787139	ROPINIROLE ZYD 0,25MG CPR 21	717	REQUIP 0,25MG CPR	N04BC04	ROPINIROLE	10/05/12		10/12/11	
3400921787887	ROPINIROLE ZYD 0,50MG CPR 21	718	REQUIP 0,50MG CPR	N04BC04	ROPINIROLE	10/05/12		10/12/11	
3400921787948	ROPINIROLE ZYD 1MG CPR 21	719	REQUIP 1MG CPR	N04BC04	ROPINIROLE	10/05/12		10/12/11	
3400921788198	ROPINIROLE ZYD 2MG CPR 21	720	REQUIP 2MG CPR	N04BC04	ROPINIROLE	10/05/12		10/12/11	
3400921788488	ROPINIROLE ZYD 5MG CPR 21	721	REQUIP 5MG CPR	N04BC04	ROPINIROLE	10/05/12		10/12/11	
3400921789089	MONTELUKAST ALT 10MG CPR 28	924	SINGULAIR 10MG CPR	R03DC03	MONTELUKAST	10/05/12		09/11/12	
3400921790030	ZOLMITRIPTAN EG 2,5MG CPR 6	880	ZOMIG 2,5MG CPR	N02CC03	ZOLMITRIPTAN	10/05/12		14/01/12	
3400921790269	ZOLMITRIPTAN EG 2,5MG CPR 12	880	ZOMIG 2,5MG CPR	N02CC03	ZOLMITRIPTAN	10/05/12		14/01/12	
3400921790559	LANSOPRAZOLE ACT 30MG GELULE 28	671	LANZOR 30MG GELULE                  | OGAST 30MG GELULE	A02BC03	LANSOPRAZOLE	06/05/10		23/11/11	
3400921790788	ZOLMITRIPTAN EG 2,5MG CPR ORODISP 6	868	ZOMIGORO 2,5MG CPR	N02CC03	ZOLMITRIPTAN	10/05/12		14/01/12	
3400921790900	ZOLMITRIPTAN EG 2,5MG CPR ORODISP 12	868	ZOMIGORO 2,5MG CPR	N02CC03	ZOLMITRIPTAN	10/05/12		14/01/12	
3400921791679	MYCOPHENOLATE MOFETIL RBX 500MG CPR 50	921	CELLCEPT 500MG CPR	L04AA06	MYCOPHENOLIQUE ACIDE	10/05/12		07/03/12	
3400921795004	MONTELUKAST ARW 10MG CPR 28	924	SINGULAIR 10MG CPR	R03DC03	MONTELUKAST	31/05/13		07/02/13	
3400921801477	ATORVASTATINE MYP 10MG CPR 30	895	TAHOR 10MG CPR                      | TAHOR 10MG CPR CROQ	C10AA05	ATORVASTATINE	28/06/12		12/04/12	
3400921801996	ATORVASTATINE MYP 10MG CPR 90	895	TAHOR 10MG CPR                      | TAHOR 10MG CPR CROQ	C10AA05	ATORVASTATINE	28/06/12		12/04/12	
3400921804720	ATORVASTATINE MYP 20MG CPR 30	896	TAHOR 20MG CPR	C10AA05	ATORVASTATINE	28/06/12		12/04/12	
3400921805260	ATORVASTATINE MYP 20MG CPR 90	896	TAHOR 20MG CPR	C10AA05	ATORVASTATINE	28/06/12		12/04/12	
3400921806441	ATORVASTATINE MYP 40MG CPR 30	897	TAHOR 40MG CPR	C10AA05	ATORVASTATINE	28/06/12		12/04/12	
3400921806960	ATORVASTATINE MYP 40MG CPR 90	897	TAHOR 40MG CPR	C10AA05	ATORVASTATINE	28/06/12		12/04/12	
3400921809114	ATORVASTATINE MYP 80MG CPR 30	898	TAHOR 80MG CPR	C10AA05	ATORVASTATINE	28/06/12		12/04/12	
3400921809572	ATORVASTATINE MYP 80MG CPR 90	898	TAHOR 80MG CPR	C10AA05	ATORVASTATINE	28/06/12		12/04/12	
3400921810813	LOSARTAN HCTZ KRK 100/12,5MG CPR 30	821	FORTZAAR 100MG/12,5MG CPR	C09DA01	LOSARTAN ET DIURETIQUES	10/05/12		14/07/12	
3400921811353	LOSARTAN HCTZ KRK 100/12,5MG CPR 90	821	FORTZAAR 100MG/12,5MG CPR	C09DA01	LOSARTAN ET DIURETIQUES	10/05/12		14/07/12	
3400921811414	DORZOLAMIDE CHV 20MG/ML CY5ML 1/5 ML	810	TRUSOPT 20 MG/ML COLLYRE FL 5ML	S01EC03	DORZOLAMIDE	28/06/12		23/06/12	
3400921811704	AZITHROMYCINE TVC 250MG CPR 6	632	ZITHROMAX 250MG CPR                 | ZITHROMAX MONODOSE 250MG CPR	J01FA10	AZITHROMYCINE	15/03/07		27/10/12	
3400921818048	IRBESARTAN HCTZ ACT 300/12,5MG CPR 30	975	COAPROVEL 300/12,5MG CPR            | COAPROVEL 300/12,5MG CPR DU	C09DA04	IRBESARTAN ET DIURETIQUES	10/05/12		05/07/12	
3400921818796	IRBESARTAN HCTZ ACT 300/12,5MG CPR 90	975	COAPROVEL 300/12,5MG CPR            | COAPROVEL 300/12,5MG CPR DU	C09DA04	IRBESARTAN ET DIURETIQUES	10/05/12		05/07/12	
3400921824131	PRAVASTATINE SDZ 20MG CPR 90	475	ELISOR 20MG CPR                     | VASTEN 20MG CPR	C10AA03	PRAVASTATINE	12/05/11	10/05/12	23/11/11	
3400921824889	DONEPEZIL PFZ 5MG CPR 28	928	ARICEPT 5MG CPR                     | ARICEPT 5MG CPR ORODISP	N06DA02	DONEPEZIL	10/05/12		08/02/12	
3400921825190	DONEPEZIL PFZ 10MG CPR 28	929	ARICEPT 10MG CPR                    | ARICEPT 10MG CPR ORODISP	N06DA02	DONEPEZIL	10/05/12		08/02/12	
3400921832174	VALSARTAN/HCTZ ARW 80/12,5MG CPR 30	877	COTAREG 80MG/12,5MG CPR             | NISISCO 80MG/12,5MG CPR	C09DA03	VALSARTAN ET DIURETIQUES	10/05/12		02/11/11	
3400921832464	VALSARTAN/HCTZ ARW 80/12,5MG CPR 90	877	COTAREG 80MG/12,5MG CPR             | NISISCO 80MG/12,5MG CPR	C09DA03	VALSARTAN ET DIURETIQUES	10/05/12		02/11/11	
3400921832815	VALSARTAN/HCTZ ARW 160/25MG CPR 30	879	COTAREG 160MG/25MG CPR              | NISISCO 160MG/25MG CPR	C09DA03	VALSARTAN ET DIURETIQUES	10/05/12		02/11/11	
3400921833065	VALSARTAN/HCTZ ARW 160/25MG CPR 90	879	COTAREG 160MG/25MG CPR              | NISISCO 160MG/25MG CPR	C09DA03	VALSARTAN ET DIURETIQUES	10/05/12		02/11/11	
3400921833355	VALSARTAN/HCTZ ARW 160/12,5MG CPR 30	878	COTAREG 160MG/12,5MG CPR            | NISISCO 160MG/12,5MG CPR	C09DA03	VALSARTAN ET DIURETIQUES	10/05/12		02/11/11	
3400921833584	VALSARTAN/HCTZ ARW 160/12,5MG CPR 90	878	COTAREG 160MG/12,5MG CPR            | NISISCO 160MG/12,5MG CPR	C09DA03	VALSARTAN ET DIURETIQUES	10/05/12		02/11/11	
3400921836547	RABEPRAZOLE ZEN 10MG CPR 14	972	PARIET 10MG CPR	A02BC04	RABEPRAZOLE	22/11/12		27/10/12	
