CIP,C,13	NOM_COURT,C,50	CODE_GRP,N,6,0	NOM_GRP_G,C,124	CODE_ATC,C,10	CLASSE_ATC,C,77	PFHT,N,11,0	PPTTC,N,11,0	TFR,N,10,0	DT_DEB,D	DT_FIN,D
3400922301938	FENTANYL MYL 12MICROG/H DISP TRANSD 5	0		N02AB03	FENTANYL	990	1396	1545	09/05/13	30/11/13
3400922302300	FENTANYL MYL 25MICROG/H DISP TRANSD 5	0		N02AB03	FENTANYL	1411	1967	1967	01/12/13	
3400922302300	FENTANYL MYL 25MICROG/H DISP TRANSD 5	0		N02AB03	FENTANYL	1411	1967	2180	09/05/13	30/11/13
3400922302768	FENTANYL MYL 50MICROG/H DISP TRANSD 5	725	DUROGESIC 50MICROG/H DISP TRANSDERM	N02AB03	FENTANYL	2475	3379	3379	01/12/13	
3400922302768	FENTANYL MYL 50MICROG/H DISP TRANSD 5	725	DUROGESIC 50MICROG/H DISP TRANSDERM	N02AB03	FENTANYL	2475	3379	3707	09/05/13	30/11/13
3400922303079	FENTANYL MYL 75MICROG/H DISP TRANSD 5	0		N02AB03	FENTANYL	3433	4520	4520	01/12/13	
3400922303079	FENTANYL MYL 75MICROG/H DISP TRANSD 5	0		N02AB03	FENTANYL	3433	4520	4974	09/05/13	30/11/13
3400922303420	FENTANYL MYL 100MICROG/H DISP TRANSD 5	728	DUROGESIC 100MICROG/H DISP TRANSDERM	N02AB03	FENTANYL	4214	5451	5451	01/12/13	
3400922303420	FENTANYL MYL 100MICROG/H DISP TRANSD 5	728	DUROGESIC 100MICROG/H DISP TRANSDERM	N02AB03	FENTANYL	4214	5451	6008	09/05/13	30/11/13
3400922324241	METOPROLOL ACC 100MG CPR 30	0		C07AB02	METOPROLOL	173	307	307	16/03/13	
3400922324821	METOPROLOL ACC 100MG CPR 90	109	LOPRESSOR 100MG CPR                 | SELOKEN 100MG CPR	C07AB02	METOPROLOL	493	808	808	16/03/13	
3400922344690	BISOPROLOL HCTZ MYP 2,5/6,25MG CPR 30	687	LODOZ 2,5MG/6,25MG CPR              | WYTENS 2,5MG/6,25MG CPR	C07BB07	BISOPROLOL ET THIAZIDIQUES	426	633	633	09/11/12	
3400922344751	BISOPROLOL HCTZ MYP 2,5/6,25MG CPR 90	687	LODOZ 2,5MG/6,25MG CPR              | WYTENS 2,5MG/6,25MG CPR	C07BB07	BISOPROLOL ET THIAZIDIQUES	1213	1774	1774	09/11/12	
3400922345871	BISOPROLOL HCTZ MYP 5/6,25MG CPR 30	688	LODOZ 5MG/6,25MG CPR                | WYTENS 5MG/6,25MG CPR	C07BB07	BISOPROLOL ET THIAZIDIQUES	426	633	633	09/11/12	
3400922345932	BISOPROLOL HCTZ MYP 5/6,25MG CPR 90	688	LODOZ 5MG/6,25MG CPR                | WYTENS 5MG/6,25MG CPR	C07BB07	BISOPROLOL ET THIAZIDIQUES	1213	1774	1774	09/11/12	
3400922347134	BISOPROLOL HCTZ MYP 10/6,25MG CPR 30	686	LODOZ 10MG/6,25MG CPR               | WYTENS 10MG/6,25MG CPR	C07BB07	BISOPROLOL ET THIAZIDIQUES	426	633	633	09/11/12	
3400922347363	BISOPROLOL HCTZ MYP 10/6,25MG CPR 90	686	LODOZ 10MG/6,25MG CPR               | WYTENS 10MG/6,25MG CPR	C07BB07	BISOPROLOL ET THIAZIDIQUES	1213	1774	1774	09/11/12	
3400922366005	OXCARBAZEPINE SDZ 150MG CPR 50	663	TRILEPTAL 150MG CPR	N03AF02	OXCARBAZEPINE	609	880	880	01/12/12	
3400922368016	OXCARBAZEPINE SDZ 300MG CPR 50	664	TRILEPTAL 300MG CPR	N03AF02	OXCARBAZEPINE	1217	1704	1704	01/12/12	
3400922368993	OXCARBAZEPINE SDZ 600MG CPR 50	665	TRILEPTAL 600MG CPR	N03AF02	OXCARBAZEPINE	2318	3192	3192	01/12/12	
3400922408378	ETHINYLESTRADIOL/LEVONORGESTREL TEVA 30 MICROGRAMM	0				120	239	239	10/10/12	
3400922408439	ETHINYL/LEVON.TVC 30/150Y CPR 63	254	MINIDRIL 0,15/0,03MG CPR	G03FA11	LEVONORGESTREL ET ESTROGENE	327	506	506	10/10/12	
3400922438306	TIMOLOL SDZ 0,10% COLLYRE FL 5ML 1/5 ML	146	TIMOPTOL 0,10% COLLYRE FL 3ML	S01ED01	TIMOLOL	240	394	394	15/09/12	
3400922438764	TIMOLOL SDZ 0,25% COLLYRE FL 5ML 1/5 ML	58	TIMOPTOL 0,25% COLLYRE FL 3ML	S01ED01	TIMOLOL	257	416	416	10/08/12	
3400922438825	TIMOLOL SDZ 0,50% COLLYRE FL 5ML 1/5 ML	144	TIMOPTOL 0,50% COLLYRE FL 3ML	S01ED01	TIMOLOL	274	438	438	10/08/12	
3400922449470	PERINDOPRIL MYP 2MG CPR 30	0		C09AA04	PERINDOPRIL	531	774	774	01/12/13	
3400922449470	PERINDOPRIL MYP 2MG CPR 30	0		C09AA04	PERINDOPRIL	531	774	901	01/12/12	30/11/13
3400922449760	PERINDOPRIL MYP 2MG CPR 90	0		C09AA04	PERINDOPRIL	1513	2176	2176	01/12/13	
3400922449760	PERINDOPRIL MYP 2MG CPR 90	0		C09AA04	PERINDOPRIL	1513	2176	2534	01/12/12	30/11/13
3400922450070	PERINDOPRIL MYP 4MG CPR 30	0		C09AA04	PERINDOPRIL	756	1079	1079	01/12/13	
3400922450070	PERINDOPRIL MYP 4MG CPR 30	0		C09AA04	PERINDOPRIL	756	1079	1259	01/12/12	30/11/13
3400922450360	PERINDOPRIL MYP 4MG CPR 90	0		C09AA04	PERINDOPRIL	2155	3037	3037	01/12/13	
3400922450360	PERINDOPRIL MYP 4MG CPR 90	0		C09AA04	PERINDOPRIL	2155	3037	3545	01/12/12	30/11/13
3400922450650	PERINDOPRIL MYP 8MG CPR 30	0		C09AA04	PERINDOPRIL	1246	1743	1743	01/12/13	
3400922450650	PERINDOPRIL MYP 8MG CPR 30	0		C09AA04	PERINDOPRIL	1246	1743	2042	01/12/12	30/11/13
3400922450889	PERINDOPRIL MYP 8MG CPR 90	0		C09AA04	PERINDOPRIL	3551	4910	4910	01/12/13	
3400922450889	PERINDOPRIL MYP 8MG CPR 90	0		C09AA04	PERINDOPRIL	3551	4910	5754	01/12/12	30/11/13
3400926625153	RIBAVIRINE ZYDUS FRANCE 200 MG 1 BOITE DE 112, COM	0				17640	21337	21337	01/10/13	
3400926625214	RIBAVIRINE ZYDUS FRANCE 200 MG 1 BOITE DE 140, COM	0				22050	26411	26411	01/10/13	
3400926625382	RIBAVIRINE ZYDUS FRANCE 200 MG 1 BOITE DE 168, COM	0				26460	31484	31484	01/10/13	
3400926683344	CLARITHROMYCINE ABT 50MG/ML BUV 1/60 ML	0		J01FA09	CLARITHROMYCINE	499	731	731	13/06/13	
3400926690908	TRAMADOL EVO 50MG GELULE 30	225	CONTRAMAL 50MG GELULE               | TOPALGIC 50MG GELULE	N02AX02	TRAMADOL	311	485	485	01/12/13	
3400926690908	TRAMADOL EVO 50MG GELULE 30	225	CONTRAMAL 50MG GELULE               | TOPALGIC 50MG GELULE	N02AX02	TRAMADOL	311	485	530	01/12/12	30/11/13
3400926709280	RIBAVIRINE MYL 200MG GELULE 84	976	REBETOL 200MG GELULE	J05AB04	RIBAVIRINE	13230	16191	16191	01/10/13	
3400926709341	RIBAVIRINE MYL 200MG GELULE 112	976	REBETOL 200MG GELULE	J05AB04	RIBAVIRINE	17640	21337	21337	01/10/13	
3400926709402	RIBAVIRINE MYL 200MG GELULE 140	976	REBETOL 200MG GELULE	J05AB04	RIBAVIRINE	22050	26411	26411	01/10/13	
3400926709570	RIBAVIRINE MYL 200MG GELULE 168	976	REBETOL 200MG GELULE	J05AB04	RIBAVIRINE	26460	31484	31484	01/10/13	
3400926716615	OXYBUTYNINE ACCORD 5 MG 1 BOITE DE 60, COMPRIMES S	0				315	490	490	21/02/13	
3400926717506	OXYBUTYNINE ACCORD 5 MG 1 BOITE DE 60, COMPRIMES S	0				315	490	490	21/02/13	
3400926745820	ENALAPRIL RANBAXY 5 MG 1 BOITE DE 28, COMPRIMES SE	0				206	350	350	19/10/13	
3400926746599	ENALAPRIL RANBAXY 20 MG 1 BOITE DE 28, COMPRIMES S	0				574	832	832	19/10/13	
3400926752514	OPTIDRIL 30/150MCG CPR 28	0		G03AA07	LEVONORGESTREL ET ESTROGENE	120	239	239	12/01/13	
3400926752682	OPTIDRIL 30/150MCG CPR 84	0		G03AA07	LEVONORGESTREL ET ESTROGENE	327	506	506	12/01/13	
3400926808907	PERINDOPRIL ARGININE/INDAPAMIDE BIOGARAN 2.5MG/0.6	0				655	942	942	28/02/14	
3400926809157	PERINDOPRIL ARGININE/INDAPAMIDE BIOGARAN 2.5MG/0.6	0				1867	2651	2651	28/02/14	
3400926809737	PERINDOPRIL ARGININE/INDAPAMIDE BIOGARAN 5MG/1.25M	0				655	942	942	28/02/14	
3400926810047	PERINDOPRIL ARGININE/INDAPAMIDE BIOGARAN 5MG/1.25M	0				1867	2651	2651	28/02/14	
3400926921200	EFFILEVO (LEVONORGESTREL, ETHINYLESTRADIOL) 0,10 M	0				120	239	239	26/04/14	
3400926921378	EFFILEVO (LEVONORGESTREL, ETHINYLESTRADIOL) 0,10 M	0				327	506	506	26/04/14	
3400926921439	EFFILEVOCONTINU (LEVONORGESTREL, ETHINYLESTRADIOL)	0				120	239	239	26/04/14	
3400926921668	EFFILEVOCONTINU (LEVONORGESTREL, ETHINYLESTRADIOL)	0				327	506	506	26/04/14	
3400926971175	ACARBOSE EG 50MG CPR 90	850	GLUCOR 50MG CPR	A10BF01	ACARBOSE	872	1236	1236	01/10/13	
3400926971465	ACARBOSE EG 100MG CPR 90	851	GLUCOR 100MG CPR	A10BF01	ACARBOSE	1187	1663	1663	01/10/13	
3400927323973	DORZOLAMIDE TIMOLOL ACT COLLYRE 5ML 1/5 ML	849	COSOPT 20MG/5MG/ML COLLYRE FL 5ML	S01ED51	TIMOLOL EN ASSOCIATION	553	804	804	01/11/13	
3400927369230	SETOFILM 8MG FILM DISP 2	0		A04AA01	ONDANSETRON	613	885	885	01/12/13	
3400927369230	SETOFILM 8MG FILM DISP 2	0		A04AA01	ONDANSETRON	613	885	977	11/07/13	30/11/13
3400927369469	SETOFILM 8MG FILM DISP 4	0		A04AA01	ONDANSETRON	1225	1715	1715	01/12/13	
3400927369469	SETOFILM 8MG FILM DISP 4	0		A04AA01	ONDANSETRON	1225	1715	1899	11/07/13	30/11/13
3400927392351	FLUVASTATINE EVOLUGEN 20 MG 1 BOITE DE 30, GELULES	0				490	718	718	28/09/13	
3400927392580	FLUVASTATINE EVOLUGEN 20 MG 1 BOITE DE 90, GELULES	0				1397	2020	2020	28/09/13	
3400927392870	FLUVASTATINE EVO 40MG GELULE 30	698	FRACTAL 40MG GELULE                 | LESCOL 40MG GELULE	C10AA04	FLUVASTATINE	549	798	798	28/09/13	
3400927393013	FLUVASTATINE EVOLUGEN 40 MG 1 BOITE DE 90, GELULES	0				1565	2246	2246	28/09/13	
3400927425271	BISOPROLOL MYLAN PHARMA 10 MG, 1 BOITE DE 90, COMP	0				1213	1774	1774	01/12/13	
3400927425271	BISOPROLOL MYLAN PHARMA 10 MG, 1 BOITE DE 90, COMP	0				1213	1774	1783	21/08/13	30/11/13
3400927481970	GABAPENTINE PFIZER 100 MG 1, BOITE DE 90, GELULES	0				646	930	930	26/04/14	
3400927482052	GABAPENTINE PFIZER 300 MG 1, BOITE DE 90, GELULES	0				1944	2690	2690	26/04/14	
3400927482113	GABAPENTINE PFIZER 400 MG 1, BOITE DE 90, GELULES	0				2332	3209	3209	26/04/14	
3400927482342	GABAPENTINE PFIZER 600 MG 1, BOITE DE 90, COMPRIME	0				3302	4364	4364	26/04/14	
3400927482571	GABAPENTINE PFIZER 800 MG 1, BOITE DE 90, COMPRIME	0				4145	5368	5368	26/04/14	
3400927518805	FLUVASTATINE ACCORD LP 80MG 1 BOITE DE 30, COMPRIM	0				934	1320	1320	08/11/13	
3400927519284	FLUVASTATINE ACCORD LP 80MG 1 BOITE DE 90, COMPRIM	0				2663	3719	3719	08/11/13	
3400927560446	FENTANYL RATIOPHARM 12 MICROGRAMMES/HEURE 1 BOITE	0				990	1396	1396	26/04/14	
3400927560675	FENTANYL RATIOPHARM 25 MICROGRAMMES/HEURE 1 BOITE	0				1411	1967	1967	26/04/14	
3400927560965	FENTANYL RATIOPHARM 50 MICROGRAMMES/HEURE 1 BOITE	0				2475	3379	3379	26/04/14	
3400927561108	FENTANYL RATIOPHARM 75 MICROGRAMMES/HEURE 1 BOITE	0				3433	4520	4520	26/04/14	
3400927561337	FENTANYL RATIOPHARM 100 MICROGRAMMES/HEURE 1 BOITE	0				4214	5451	5451	26/04/14	
3400927592782	PERINDOPRIL CRISTERS 2MG 1 BOITE DE 90, COMPRIMES	0				1513	2176	2176	08/11/13	
3400927592843	PERINDOPRIL CRISTERS 4MG 1 BOITE DE 90, COMPRIMES	0				2155	3037	3037	08/11/13	
3400927592904	PERINDOPRIL CRISTERS 8 MG 1 BOITE DE 90, COMPRIMES	0				3551	4910	4910	08/11/13	
3400927611575	ACARBOSE MYL 50MG CPR 90	850	GLUCOR 50MG CPR	A10BF01	ACARBOSE	872	1236	1236	04/12/13	
3400927611926	ACARBOSE MYL 100MG CPR 90	851	GLUCOR 100MG CPR	A10BF01	ACARBOSE	1187	1663	1663	04/12/13	
3400930043523	ANAFRANIL 25MG CPR 50	119	ANAFRANIL 25MG CPR	N06AA04	CLOMIPRAMINE	351	537	537	01/01/12	
3400930043523	ANAFRANIL 25MG CPR 50	119	ANAFRANIL 25MG CPR	N06AA04	CLOMIPRAMINE	351	537	542	06/05/08	31/12/11
3400930089767	AVLOCARDYL 40MG CPR 50	110	AVLOCARDYL 40MG CPR	C07AA05	PROPRANOLOL	211	356	247	01/01/12	
3400930089767	AVLOCARDYL 40MG CPR 50	110	AVLOCARDYL 40MG CPR	C07AA05	PROPRANOLOL	211	356	229	06/05/08	31/12/11
3400930258972	CORTANCYL 1MG CPR 30	459	CORTANCYL 1MG CPR	H02AB07	PREDNISONE	80	188	188	01/01/12	
3400930258972	CORTANCYL 1MG CPR 30	459	CORTANCYL 1MG CPR	H02AB07	PREDNISONE	80	188	165	01/10/11	31/12/11
3400930259054	CORTANCYL 5MG CPR 30	351	CORTANCYL 5MG CPR	H02AB07	PREDNISONE	137	261	261	01/01/12	
3400930259054	CORTANCYL 5MG CPR 30	351	CORTANCYL 5MG CPR	H02AB07	PREDNISONE	137	261	244	06/05/08	31/12/11
3400930328743	DOGMATIL 100MG/2ML SOL INJ  6/2 ML	0		N05AL01	SULPIRIDE	102	216	216	01/01/12	
3400930328743	DOGMATIL 100MG/2ML SOL INJ  6/2 ML	0		N05AL01	SULPIRIDE	102	216	196	06/05/08	31/12/11
3400930328804	DOGMATIL 200MG CPR 12	30	DOGMATIL 200MG CPR	N05AL01	SULPIRIDE	337	519	519	01/01/12	
3400930328804	DOGMATIL 200MG CPR 12	30	DOGMATIL 200MG CPR	N05AL01	SULPIRIDE	337	519	522	06/05/08	31/12/11
3400930328972	DOGMATIL 50MG GELULE 30	40	DOGMATIL 50MG GELULE	N05AL01	SULPIRIDE	238	391	391	01/01/12	
3400930328972	DOGMATIL 50MG GELULE 30	40	DOGMATIL 50MG GELULE	N05AL01	SULPIRIDE	238	391	385	06/05/08	31/12/11
3400930329054	DOGMATIL 0,5G/100ML SOL BUV FL 200ML 1/200 ML	0		N05AL01	SULPIRIDE	130	252	252	01/01/12	
3400930329054	DOGMATIL 0,5G/100ML SOL BUV FL 200ML 1/200 ML	0		N05AL01	SULPIRIDE	130	252	235	06/05/08	31/12/11
3400930370155	ANAFRANIL 10MG CPR 60	69	ANAFRANIL 10MG CPR	N06AA04	CLOMIPRAMINE	178	314	314	01/01/12	
3400930370155	ANAFRANIL 10MG CPR 60	69	ANAFRANIL 10MG CPR	N06AA04	CLOMIPRAMINE	178	314	301	06/05/08	31/12/11
3400930581933	ACARBOSE ZEN 100MG CPR 90	851	GLUCOR 100MG CPR	A10BF01	ACARBOSE	1187	1663	1663	01/10/13	
3400930583715	ACARBOSE ZEN 50MG CPR 90	850	GLUCOR 50MG CPR	A10BF01	ACARBOSE	872	1236	1236	01/10/13	
3400930633205	LUTERAN 5MG CPR 10	307	LUTERAN 5MG CPR	G03DB06	CHLORMADINONE	123	243	243	01/01/12	
3400930633205	LUTERAN 5MG CPR 10	307	LUTERAN 5MG CPR	G03DB06	CHLORMADINONE	123	243	225	06/05/08	31/12/11
