CIP,C,13	NOM_COURT,C,50	DT_EFFET,D	GEN_IND,C,1	CODE_GRP,N,6,0	NOM_GRP_G,C,124	CODE_ATC,C,10	CLASSE_ATC,C,77
3400921651881	ATORVASTATINE ZEN 20MG CPR 30	10/05/12	1	896	TAHOR 20MG CPR	C10AA05	ATORVASTATINE
3400921652192	ATORVASTATINE ZEN 20MG CPR 90	10/05/12	1	896	TAHOR 20MG CPR	C10AA05	ATORVASTATINE
3400921652604	ATORVASTATINE ZEN 40MG CPR 30	08/03/12	0	0		C10AA05	ATORVASTATINE
3400921653083	ATORVASTATINE ZEN 40MG CPR 90	08/03/12	0	0		C10AA05	ATORVASTATINE
3400921653663	DOXAZOSINE MYL LP 4MG CPR 28	21/02/14	1	798	ZOXAN LP 4MG CPR	C02CA04	DOXAZOSINE
3400921654783	EXEMESTANE RBX 25MG CPR 30	10/05/12	1	881	AROMASINE 25MG CPR	L02BG06	EXEMESTANE
3400921655674	DOXAZOSINE ACT LP 8MG CPR CA 28	21/02/14	1	1082	ZOXAN LP 8MG CPR LP	G04CA	ALPHABLOQUANTS
3400921656794	DOXAZOSINE MYL LP 8MG CPR 28	24/07/13	1	1082	ZOXAN LP 8MG CPR LP	G04CA	ALPHABLOQUANTS
3400921658286	CLARELUX 500MCG/G MOUSS FL 1/100 G	23/03/13	0	0		D07AD01	CLOBETASOL
3400921659177	DESLORATADINE MYP 5MG CPR 15	22/03/12	1	1029	AERIUS 5MG CPR	R06AX27	DESLORATADINE
3400921659528	DESLORATADINE MYP 5MG CPR 30	22/03/12	1	1029	AERIUS 5MG CPR	R06AX27	DESLORATADINE
3400921659696	DONEPEZIL BGA 5MG CPR 28	22/03/12	1	928	ARICEPT 5MG CPR                     | ARICEPT 5MG CPR ORODISP	N06DA02	DONEPEZIL
3400921659986	DONEPEZIL BGA 10MG CPR 28	22/03/12	1	929	ARICEPT 10MG CPR                    | ARICEPT 10MG CPR ORODISP	N06DA02	DONEPEZIL
3400921662078	AMOROLFINE RBX 5% VERNIS MED 20SP 1/2,5 ML	22/03/12	1	815	LOCERYL 5% VERNIS MEDICAMENTEUX	D01AE16	AMOROLFINE
3400921662948	AMOROLFINE CRISTERS 5 % 1 BOITE DE 1, 2,5 ML EN FL	13/06/13	0	0			
3400921663020	AMOROLFINE CRT 5% VERNIS MED 20SP 1/2,5 ML	13/06/13	0	0		D01AE16	AMOROLFINE
3400921663839	ATORVASTATINE ISD 10MG CPR 28	10/05/12	1	895	TAHOR 10MG CPR                      | TAHOR 10MG CPR CROQ	C10AA05	ATORVASTATINE
3400921664379	ATORVASTATINE ISD 10MG CPR 90	10/05/12	1	895	TAHOR 10MG CPR                      | TAHOR 10MG CPR CROQ	C10AA05	ATORVASTATINE
3400921664430	ATORVASTATINE ISD 20MG CPR 28	10/05/12	1	896	TAHOR 20MG CPR	C10AA05	ATORVASTATINE
3400921664959	ATORVASTATINE ISD 20MG CPR 90	10/05/12	1	896	TAHOR 20MG CPR	C10AA05	ATORVASTATINE
3400921665321	DIACEREINE ZYD 50MG GELULE 30	22/03/12	1	730	ART 50MG GELULE                     | ZONDAR 50MG GELULE	M01AX21	DIACEREINE
3400921665550	ATORVASTATINE ISD 40MG CPR 28	10/05/12	1	897	TAHOR 40MG CPR	C10AA05	ATORVASTATINE
3400921665901	ATORVASTATINE ISD 40MG CPR 90	10/05/12	1	897	TAHOR 40MG CPR	C10AA05	ATORVASTATINE
3400921666090	ATORVASTATINE ISD 80MG CPR 28	10/05/12	1	898	TAHOR 80MG CPR	C10AA05	ATORVASTATINE
3400921666441	ATORVASTATINE ISD 80MG CPR 90	10/05/12	1	898	TAHOR 80MG CPR	C10AA05	ATORVASTATINE
3400921672534	GLIMEPIRIDE AHL 1MG CPR 90	10/02/09	1	516	AMAREL 1MG CPR	A10BB12	GLIMEPIRIDE
3400921672763	GLIMEPIRIDE AHL 2MG CPR 90	10/02/09	1	517	AMAREL 2MG CPR	A10BB12	GLIMEPIRIDE
3400921672824	GLIMEPIRIDE AHL 3MG CPR 90	10/02/09	1	518	AMAREL 3MG CPR	A10BB12	GLIMEPIRIDE
3400921672992	GLIMEPIRIDE AHL 4MG CPR 90	10/02/09	1	519	AMAREL 4MG CPR	A10BB12	GLIMEPIRIDE
3400921673074	ALLOPURINOL ZTV 100MG CPR 28	10/05/12	1	215	ZYLORIC 100MG CPR	M04AA01	ALLOPURINOL
3400921675894	ALLOPURINOL ZTV 200MG CPR 1	10/05/12	1	181	ZYLORIC 200MG CPR	M04AA01	ALLOPURINOL
3400921676266	ALLOPURINOL ZTV 300MG CPR 28	10/05/12	1	149	ZYLORIC 300MG CPR	M04AA01	ALLOPURINOL
3400921676327	ENBREL 10MG/ML PDR ET SOL INJ PEDIAT 4	18/04/13	0	0		L04AB01	ETANERCEPT
3400921677447	ALLOPURINOL RTP 100MG CPR 28	07/03/12	0	0		M04AA01	ALLOPURINOL
3400921678918	ALLOPURINOL RTP 200MG CPR 28	07/03/12	0	0		M04AA01	ALLOPURINOL
3400921680058	ALLOPURINOL RTP 300MG CPR 28	07/03/12	0	0		M04AA01	ALLOPURINOL
3400921686951	ATENOLOL ZEN 50MG CPR 30	28/06/12	1	228	TENORMINE 50MG CPR	C07AB03	ATENOLOL
3400921687262	ATENOLOL ZEN 50MG CPR 90	28/06/12	1	228	TENORMINE 50MG CPR	C07AB03	ATENOLOL
3400921687491	ALFUZOSINE ISD LP 10MG CPR 30	10/05/12	1	501	XATRAL LP 10MG CPR	G04CA01	ALFUZOSINE
3400921687552	TASIGNA 200MG GELULE 28	07/12/11	0	0		L01XE08	NILOTINIB
3400921687613	TASIGNA 200MG GELULE 112	07/12/11	0	0		L01XE08	NILOTINIB
3400921687781	OMNITROPE 15MG/1,5ML SOL INJ 1/1,5 ML	23/03/13	0	0		H01AC01	SOMATROPINE
3400921687842	OMNITROPE 15MG/1,5ML SOL INJ 5/1,5 ML	23/03/13	0	0		H01AC01	SOMATROPINE
3400921687903	OMNITROPE 15MG/1,5ML SOL INJ 10/1,5 ML	23/03/13	0	0		H01AC01	SOMATROPINE
3400921689273	PERINDOPRIL EVO 2MG CPR 30	25/07/12	1	575	COVERSYL 2,5MG CPR                  | PERINDOPRIL SERVIER 2MG CPR	C09AA04	PERINDOPRIL
3400921689914	EBASTINE TEVA 10MG CPR ORODISP 30	19/06/12	1	1041	KESTINLYO 10MG LYOPHILISAT ORAL	R06AX22	EBASTINE
3400921690682	PERINDOPRIL EVO 4MG CPR 30	25/07/12	1	579	COVERSYL 5MG CPR                    | PERINDOPRIL SERVIER 4MG CPR	C09AA04	PERINDOPRIL
3400921691115	OLANZAPINE BLF 5MG CPR DISP 28	22/03/12	1	967	ZYPREXA VELOTAB 5MG CPR	N05AH03	OLANZAPINE
3400921691924	RIZATRIPTAN EG 5MG CPR 12	22/05/12	1	1088	MAXALT 5MG CPR	N02CC04	RIZATRIPTAN
3400921692525	RIZATRIPTAN EG 10MG CPR 12	22/05/12	1	1089	MAXALT 10MG CPR	N02CC04	RIZATRIPTAN
3400921693065	RIZATRIPTAN EG 10MG CPR ORODISP 6	05/04/13	0	0		N02CC04	RIZATRIPTAN
3400921693126	RIZATRIPTAN EG 10MG CPR ORODISP 12	05/04/13	0	0		N02CC04	RIZATRIPTAN
3400921693416	OLANZAPINE BLF 10MG CPR DISP 28	22/03/12	1	968	ZYPREXA VELOTAB 10MG CPR	N05AH03	OLANZAPINE
3400921694017	PERINDOPRIL EVO 8MG CPR 30	25/07/12	1	582	COVERSYL 10MG CPR                   | PERINDOPRIL SERVIER 8MG CPR	C09AA04	PERINDOPRIL
3400921694994	ATENOLOL ZEN 100MG CPR 30	28/06/12	1	22	TENORMINE 100MG CPR	C07AB03	ATENOLOL
3400921695137	ATENOLOL ZEN 100MG CPR 90	28/06/12	1	22	TENORMINE 100MG CPR	C07AB03	ATENOLOL
3400921695656	RIBAVIRINE MYL 200MG CPR 28	24/09/11	0	0		J05AB04	RIBAVIRINE
3400921695717	RIBAVIRINE MYL 200MG CPR 42	24/09/11	0	0		J05AB04	RIBAVIRINE
3400921695885	RIBAVIRINE MYL 400MG CPR 14	24/09/11	0	0		J05AB04	RIBAVIRINE
3400921696776	MEROPENEM GER 1G  PDR SOL INJ   10/20 ML	07/02/13	0	0		J01DH02	MEROPENEME
3400921703214	VALSARTAN ALT 80MG CPR 30	10/05/12	1	854	NISIS 80MG CPR                      | TAREG 80MG CPR	C09CA03	VALSARTAN
3400921703504	VALSARTAN ALT 80MG CPR 90	10/05/12	1	854	NISIS 80MG CPR                      | TAREG 80MG CPR	C09CA03	VALSARTAN
3400921704044	VALSARTAN ALT 160MG CPR 30	30/12/11	0	0		C09CA03	VALSARTAN
3400921704334	VALSARTAN ALT 160MG CPR 90	30/12/11	0	0		C09CA03	VALSARTAN
3400921708707	DONEPEZIL KRK 5MG CPR 28	28/06/12	1	928	ARICEPT 5MG CPR                     | ARICEPT 5MG CPR ORODISP	N06DA02	DONEPEZIL
3400921709247	DONEPEZIL KRK 10MG CPR 28	28/06/12	1	929	ARICEPT 10MG CPR                    | ARICEPT 10MG CPR ORODISP	N06DA02	DONEPEZIL
3400921709476	OVITRELLE 250MCG INJ STY 0,5ML 1/,5 ML	11/01/12	0	0		G03GA08	CHORIOGONADOTROPINE ALFA
3400921716801	PEGASYS 135 MICROG/0,5ML SOL STYLO 1/,5 ML	07/12/11	0	0		L03AB11	PEGINTERFERON ALFA-2A
3400921716979	PEGASYS 135 MICROG/0,5ML SOL STYLO 4/,5 ML	07/12/11	0	0		L03AB11	PEGINTERFERON ALFA-2A
3400921717341	PEGASYS 180 MICROG/0,5ML SOL STYLO 1/,5 ML	07/12/11	0	0		L03AB11	PEGINTERFERON ALFA-2A
3400921718171	PEGASYS 180 MICROG/0,5ML SOL STYLO 4/,5 ML	07/12/11	0	0		L03AB11	PEGINTERFERON ALFA-2A
3400921718812	CANDESARTAN ACT 4MG CPR 30	10/05/12	1	959	ATACAND 4MG CPR                     | KENZEN 4MG CPR	C09CA06	CANDESARTAN
3400921719123	CANDESARTAN ACT 4MG CPR 90	10/05/12	1	959	ATACAND 4MG CPR                     | KENZEN 4MG CPR	C09CA06	CANDESARTAN
3400921719642	CANDESARTAN ACT 8MG CPR 30	10/05/12	1	960	ATACAND 8MG CPR                     | KENZEN 8MG CPR	C09CA06	CANDESARTAN
3400921719932	CANDESARTAN ACT 8MG CPR 90	10/05/12	1	960	ATACAND 8MG CPR                     | KENZEN 8MG CPR	C09CA06	CANDESARTAN
3400921720471	CANDESARTAN ACT 16MG CPR 30	10/05/12	1	961	ATACAND 16MG CPR                    | KENZEN 16MG CPR	C09CA06	CANDESARTAN
3400921720822	CANDESARTAN ACT 16MG CPR 90	10/05/12	1	961	ATACAND 16MG CPR                    | KENZEN 16MG CPR	C09CA06	CANDESARTAN
3400921721362	CANDESARTAN ACT 32MG CPR 30	10/05/12	1	962	ATACAND 32MG CPR                    | KENZEN 32MG CPR	C09CA06	CANDESARTAN
3400921721942	CITALOPRAM BLF 20MG CPR 30	10/05/12	1	320	SEROPRAM 20MG CPR	N06AB04	CITALOPRAM
3400921722192	LISINOPRIL HCTZ ZYD 20/12,5MG CPR 30	10/05/12	1	409	PRINZIDE 20MG/12,5MG CPR            | ZESTORETIC 20MG/12,5MG CPR	C09BA03	LISINOPRIL ET DIURETIQUES
3400921722253	LISINOPRIL HCTZ ZYD 20/12,5MG CPR 90	10/05/12	1	409	PRINZIDE 20MG/12,5MG CPR            | ZESTORETIC 20MG/12,5MG CPR	C09BA03	LISINOPRIL ET DIURETIQUES
3400921722314	LATANOPROST BGA 0,005% COLLYRE 1/2,5 ML	14/01/12	0	0		S01EE01	LATANOPROST
3400921723953	CANDESARTAN/HCTZ ACT 8/12,5 CPR 30	10/05/12	1	963	COKENZEN 8MG/12,5MG CPR	C09DA06	CANDESARTAN ET DIURETIQUES
3400921724325	CANDESARTAN/HCTZ ACT 8/12,5 CPR 90	10/05/12	1	963	COKENZEN 8MG/12,5MG CPR	C09DA06	CANDESARTAN ET DIURETIQUES
3400921724783	CANDESARTAN/HCTZ ACT 16/12,5 CPR 30	10/05/12	1	964	COKENZEN 16MG/12,5MG CPR	C09DA06	CANDESARTAN ET DIURETIQUES
3400921725094	CANDESARTAN/HCTZ ACT 16/12,5 CPR 90	10/05/12	1	964	COKENZEN 16MG/12,5MG CPR	C09DA06	CANDESARTAN ET DIURETIQUES
3400921725384	XGEVA 120MG INJ FL 1,7ML 1/1,7 ML	19/01/13	0	0		M05BX04	DENOSUMAB
3400921728118	CANDESARTAN/HCTZ ARW 8/12,5 CPR 30	08/01/13	1	963	COKENZEN 8MG/12,5MG CPR	C09DA06	CANDESARTAN ET DIURETIQUES
3400921728408	CANDESARTAN/HCTZ ARW 8/12,5 CPR 90	08/01/13	1	963	COKENZEN 8MG/12,5MG CPR	C09DA06	CANDESARTAN ET DIURETIQUES
3400921729177	CANDESARTAN/HCTZ ARW 16/12,5 CPR 30	08/01/13	1	964	COKENZEN 16MG/12,5MG CPR	C09DA06	CANDESARTAN ET DIURETIQUES
3400921729696	CANDESARTAN/HCTZ ARW 16/12,5 CPR 90	08/01/13	1	964	COKENZEN 16MG/12,5MG CPR	C09DA06	CANDESARTAN ET DIURETIQUES
3400921737851	INCIVO 375MG CPR 168	20/07/12	0	0		J05AE11	TELAPREVIR
3400921738681	CANDESARTAN BGA 32MG CPR 30	10/05/12	1	962	ATACAND 32MG CPR                    | KENZEN 32MG CPR	C09CA06	CANDESARTAN
3400921739404	CANDESARTAN ZYD 32MG CPR 30	10/05/12	1	962	ATACAND 32MG CPR                    | KENZEN 32MG CPR	C09CA06	CANDESARTAN
3400921740233	ATORVASTATINE BGR 10MG CPR 30	22/11/12	1	895	TAHOR 10MG CPR                      | TAHOR 10MG CPR CROQ	C10AA05	ATORVASTATINE
3400921740813	ATORVASTATINE BGR 10MG CPR 90	22/11/12	1	895	TAHOR 10MG CPR                      | TAHOR 10MG CPR CROQ	C10AA05	ATORVASTATINE
3400921741292	ATORVASTATINE BGR 20MG CPR 30	22/11/12	1	896	TAHOR 20MG CPR	C10AA05	ATORVASTATINE
3400921741704	ATORVASTATINE BGR 20MG CPR 90	22/11/12	1	896	TAHOR 20MG CPR	C10AA05	ATORVASTATINE
3400921742183	ATORVASTATINE BGR 40MG CPR 30	22/11/12	1	897	TAHOR 40MG CPR	C10AA05	ATORVASTATINE
3400921742763	ATORVASTATINE BGR 40MG CPR 90	22/11/12	1	897	TAHOR 40MG CPR	C10AA05	ATORVASTATINE
3400921743364	ATORVASTATINE BGR 80MG CPR 30	22/11/12	1	898	TAHOR 80MG CPR	C10AA05	ATORVASTATINE
3400921743883	ATORVASTATINE BGR 80MG CPR 90	22/11/12	1	898	TAHOR 80MG CPR	C10AA05	ATORVASTATINE
3400921748857	DESLORATADINE ZEN 5MG CPR 15	11/09/12	1	1029	AERIUS 5MG CPR	R06AX27	DESLORATADINE
3400921749229	DESLORATADINE ZEN 5MG CPR 30	11/09/12	1	1029	AERIUS 5MG CPR	R06AX27	DESLORATADINE
3400921749397	ANAPEN 0,50 MG/0,3 ML (ADRENALINE), 1 BOITE DE 1 S	03/10/13	0	0			
3400921749748	ZYTIGA 250MG CPR 120	21/06/12	0	0		L02BX03	ABIRATERONE
3400921752649	ZOMETA 4MG/100ML PERF FL 1/100 ML	03/07/13	4	1080	ZOMETA 4MG/100ML PERF FL	M05BA08	ZOLEDRONIQUE ACIDE
3400921752939	LATANOPROST ZEN 0,005% COLLYRE 1/2,5 ML	09/11/12	0	0		S01EE01	LATANOPROST
3400921753820	DESLORATADINE TVS 5MG CPR 15	10/12/11	0	0		R06AX27	DESLORATADINE
3400921754131	DESLORATADINE TVS 5MG CPR 30	10/12/11	0	0		R06AX27	DESLORATADINE
3400921756203	DESLORATADINE GNR 5MG CPR 15	23/11/11	0	0		R06AX27	DESLORATADINE
3400921756661	DESLORATADINE GNR 5MG CPR 30	23/11/11	0	0		R06AX27	DESLORATADINE
3400921758733	CLOPIDOGREL ZYF 75MG CPR 30	10/05/12	1	788	PLAVIX 75MG CPR	B01AC04	CLOPIDOGREL
3400921760453	DESLORATADINE GNR 0,5MG/ML BUV 150ML 1/150 ML	23/11/11	0	0		R06AX27	DESLORATADINE
3400921761405	DESLORATADINE EG 0,5MG/ML BUV 150ML 1/150 ML	22/11/12	1	1030	AERIUS 0,5MG/ML SOL BUV	R06AX27	DESLORATADINE
3400921762693	DESLORATADINE ZEN 0,5MG/ML BUV 150ML 1/150 ML	25/11/11	0	0		R06AX27	DESLORATADINE
3400921763645	DESLORATADINE ARW 0,5MG/ML BUV 150ML 1/150 ML	11/09/12	1	1030	AERIUS 0,5MG/ML SOL BUV	R06AX27	DESLORATADINE
3400921763706	RISEDRONATE SDZ 75MG CPR 2	22/11/12	1	996	ACTONEL 75MG CPR	M05BA07	RISEDRONIQUE ACIDE
3400921763935	RISEDRONATE SDZ 75MG CPR 6	22/11/12	1	996	ACTONEL 75MG CPR	M05BA07	RISEDRONIQUE ACIDE
3400921765717	BENAZEPRIL ACT 5MG CPR 30	10/05/12	1	690	BRIEM 5MG CPR                       | CIBACENE 5MG CPR	C09AA07	BENAZEPRIL
3400921766196	BENAZEPRIL ACT 5MG CPR 90	07/03/12	0	0		C09AA07	BENAZEPRIL
3400921766608	BENAZEPRIL ACT 5MG CPR 30	07/03/12	0	0		C09AA07	BENAZEPRIL
3400921767148	BENAZEPRIL ACT 5MG CPR 90	07/03/12	0	0		C09AA07	BENAZEPRIL
3400921767728	BENAZEPRIL ACT 10MG CPR 30	10/05/12	1	689	BRIEM 10MG CPR                      | CIBACENE 10MG CPR	C09AA07	BENAZEPRIL
