code,C,7	libelle,C,128
A02AB03	ALUMINIUM PHOSPHATE
A02AB04	DIHYDROXYALUMINIUM SODIUM CARBONATE
A02AB05	ALUMINIUM ACETOACETATE
A02AB06	ALOGLUTAMOL
A02AB07	ALUMINIUM GLYCINATE
A02AB10	ASSOCIATIONS
A02AC	ANTIACIDES A BASE DE CALCIUM
A02AC01	CALCIUM CARBONATE
A02AC02	CALCIUM SILICATE
A02AC10	ASSOCIATIONS
A02AD	ASSOCIATIONS ET COMPLEXES A BASE D'ALUMINIUM, DE CALCIUM ET DE MAGNESIUM
A02AD01	ASSOCIATIONS DE SELS
A02AD02	MAGALDRATE
A02AD03	ALMAGATE
A02AD04	HYDROTALCITE
A02AD05	ALMASILATE
A02AF	ANTIACIDES AVEC ANTIFLATULENTS
A02AF01	MAGALDRATE ET ANTIFLATULENTS
A02AF02	ASSOCIATIONS DE SELS ET ANTIFLATULENTS
A02AG	ANTIACIDES AVEC ANTISPASMODIQUES
A02AH	ANTIACIDES AVEC BICARBONATE DE SODIUM
A02AX	ANTIACIDES : AUTRES ASSOCIATIONS
A02B	MEDICAMENTS POUR L'ULCERE GASTRO-DUODENAL ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
A02BA	ANTAGONISTES DES RECEPTEURS H2
A02BA01	CIMETIDINE
A02BA02	RANITIDINE
A02BA03	FAMOTIDINE
A02BA04	NIZATIDINE
A02BA05	NIPEROTIDINE
A02BA06	ROXATIDINE
A02BA07	RANITIDINE BISMUTH CITRATE
A02BA08	LAFUTIDINE
A02BA51	CIMETIDINE EN ASSOCIATION
A02BA53	FAMOTIDINE EN ASSOCIATION
A02BB	PROSTAGLANDINES
A02BB01	MISOPROSTOL
A02BB02	ENPROSTIL
A02BC	INHIBITEURS DE LA POMPE A PROTONS
A02BC01	OMEPRAZOLE
A02BC02	PANTOPRAZOLE
A02BC03	LANSOPRAZOLE
A02BC04	RABEPRAZOLE
A02BC05	ESOMEPRAZOLE
A02BC06	DEXLANSOPRAZOLE
A02BC07	DEXRABEPRAZOLE
A02BC53	LANSOPRAZOLE EN ASSOCCIATION
A02BC54	RABEPRAZOLE EN ASSOCIATION
A02BD	ASSOCIATIONS POUR L'ERADICATION D'HELICOBACTER PYLORI
A02BD01	OMEPRAZOLE, AMOXICILLINE ET METRONIDAZOLE
A02BD02	LANSOPRAZOLE, TETRACYCLINE ET METRONIDAZOLE
A02BD03	LANSOPRAZOLE, AMOXICILLINE ET METRONIDAZOLE
A02BD04	PANTOPRAZOLE, AMOXICILLINE ET CLARITHROMYCINE
A02BD05	OMEPRAZOLE, AMOXICILLINE ET CLARITHROMYCINE
A02BD06	ESOMEPRAZOLE, AMOXICILLINE ET CLARITHROMYCINE
A02BD07	LANSOPRAZOLE, AMOXICILLINE ET CLARITHROMYCINE
A02BD08	BISMUTH SUBCITRATE, TETRACYCLINE ET METRONIDAZOLE
A02BD09	LANSOPRAZOLE, CLARITHROMYCINE ET TINIDAZOLE
A02BD10	LANSOPRAZOLE, AMOXICILLINE ET LEVOFLOXACINE
A02BX	AUTRES MEDICAMENTS POUR L'ULCERE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
A02BX01	CARBENOXOLONE
A02BX02	SUCRALFATE
A02BX03	PIRENZEPINE
A02BX04	METHIOSULFONIUM CHLORURE
A02BX05	BISMUTH SUBCITRATE
A02BX06	PROGLUMIDE
A02BX07	GEFARNATE
A02BX08	SULGLICOTIDE
A02BX09	ACETOXOLONE
A02BX10	ZOLIMIDINE
A02BX11	TROXIPIDE
A02BX12	BISMUTH SOUS NITRATE
A02BX13	ALGINIQUE ACIDE
A02BX51	CARBENOXOLONE EN ASSOCIATION SAUF AUX PSYCHOLEPTIQUES
A02BX71	CARBENOXOLONE EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES
A02BX77	GEFARNATE EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES
A02X	AUTRES MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE
A03	MEDICAMENTS POUR LES DESORDRES FONCTIONNELS GASTRO-INTESTINAUX
A03A	MEDICAMENTS POUR LES DESORDRES FONCTIONNELS GASTRO-INTESTINAUX
A03AA	ANTICHOLINERGIQUES DE SYNTHESE : ESTERS AVEC GROUPEMENT AMINE TERTIAIRE
A03AA01	OXYPHENCYCLIMINE
A03AA03	CAMYLOFINE
A03AA04	MEBEVERINE
A03AA05	TRIMEBUTINE
A03AA06	ROCIVERINE
A03AA07	DICYCLOVERINE
A03AA08	DIHEXYVERINE
A03AA09	DIFEMERINE
A03AA30	PIPERIDOLATE
A03AB	ANTICHOLINERGIQUES DE SYNTHESE : AMMONIUMS QUATERNAIRES
A03AB01	BENZILONE
A03AB02	GLYCOPYRRONIUM
A03AB03	OXYPHENONIUM
A03AB04	PENTHIENATE
A03AB05	PROPANTHELINE
A03AB06	OTILONIUM BROMURE
A03AB07	METHANTHELINE
A03AB08	TRIDIHEXETHYL
A03AB09	ISOPROPAMIDE
A03AB10	HEXOCYCLIUM
A03AB11	POLDINE
A03AB12	MEPENZOLATE
A03AB13	BEVONIUM
A03AB14	PIPENZOLATE
A03AB15	DIPHEMANIL
A03AB16	(2-BENZHYDRYLOXYETHYL) DIETHYLMETHYLAMMONIUM IODURE
A03AB17	TIEMONIUM IODURE
A03AB18	PRIFINIUM BROMURE
A03AB19	TIMEPIDIUM BROMURE
A03AB21	FENPIVERINIUM
A03AB53	OXYPHENONIUM EN ASSOCIATION
A03AC	ANTISPASMODIQUES DE SYNTHESE : AMIDES AVEC GROUPEMENT AMINE TERTIAIRE
A03AC02	DIMETHYLAMINOPROPIONYLPHENOTHIAZINE
A03AC04	NICOFETAMIDE
A03AC05	TIROPRAMIDE
A03AD	PAPAVERINE ET DERIVES
A03AD01	PAPAVERINE
A03AD02	DROTAVERINE
A03AD30	MOXAVERINE
A03AE	ANTAGONISTES DES RECEPTEURS DE LA SEROTONINE
A03AE01	ALOSETRON
A03AE03	CILANSETRON
A03AX	AUTRES MEDICAMENTS POUR LES DESORDRES FONCTIONNELS GASTRO-INTESTINAUX
A03AX01	FENPIPRANE
A03AX02	DIISOPROMINE
A03AX03	CHLORBENZOXAMINE
A03AX04	PINAVERIUM
A03AX05	FENOVERINE
A03AX06	IDANPRAMINE
A03AX07	PROXAZOLE
A03AX08	ALVERINE
A03AX09	TREPIBUTONE
A03AX10	ISOMETHEPTENE
A03AX11	CAROVERINE
A03AX12	PHLOROGLUCINOL
A03AX13	SILICONES
A03AX14	VALETHAMATE
A03AX30	TRIMETHYLDIPHENYLPROPYLAMINE
A03AX58	ALVERINE EN ASSOCIATION
A03B	BELLADONE ET DERIVES
A03BA	ALCALOÏDES DE LA BELLADONE : AMINES TERTIAIRES
A03BA01	ATROPINE
A03BA03	HYOSCYAMINE
A03BA04	ALCALOÏDES TOTAUX DE LA BELLADONE
A03BB	ALCALOÏDES HEMISYNTHETIQUES DE LA BELLADONE : AMMONIUMS QUATERNAIRES
A03BB01	BUTYLSCOPOLAMINE
A03BB02	METHYLATROPINE
A03BB03	METHYLSCOPOLAMINE
A03BB04	FENTONIUM
A03BB05	CIMETROPIUM BROMURE
A03C	ANTISPASMODIQUES EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES
A03CA	ANTICHOLINERGIQUES DE SYNTHESE EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES
A03CA01	ISOPROPAMIDE ET PSYCHOLEPTIQUES
A03CA02	CLIDINIUM ET PSYCHOLEPTIQUES
A03CA03	OXYPHENCYCLIMINE ET PSYCHOLEPTIQUES
A03CA04	OTILONIUM BROMURE ET PSYCHOLEPTIQUES
A03CA05	GLYCOPYRRONIUM ET PSYCHOLEPTIQUES
A03CA06	BEVONIUM ET PSYCHOLEPTIQUES
A03CA07	AMBUTONIUM ET PSYCHOLEPTIQUES
A03CA08	DIPHEMANIL ET PSYCHOLEPTIQUES
A03CA09	PIPENZOLATE ET PSYCHOLEPTIQUES
A03CA30	EMEPRONIUM ET PSYCHOLEPTIQUES
A03CA34	PROPANTHELINE ET PSYCHOLEPTIQUES
A03CB	BELLADONE ET DERIVES EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES
A03CB01	METHYLSCOPOLAMINE ET PSYCHOLEPTIQUES
A03CB02	ALCALOÏDES TOTAUX DE LA BELLADONE ET PSYCHOLEPTIQUES
A03CB03	ATROPINE ET PSYCHOLEPTIQUES
A03CB04	METHYLHOMATROPINE ET PSYCHOLEPTIQUES
A03CB31	HYOSCYAMINE ET PSYCHOLEPTIQUES
A03CC	AUTRES ANTISPASMODIQUES EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES
A03D	ANTISPASMODIQUES EN ASSOCIATION AVEC DES ANALGESIQUES
A03DA	ANTICHOLINERGIQUES DE SYNTHESE EN ASSOCIATION AVEC DES ANALGESIQUES
A03DA01	TROPENZILONE ET ANALGESIQUES
A03DA02	PITOFENONE ET ANALGESIQUES
A03DA03	BEVONIUM ET ANALGESIQUES
A03DA04	CICLONIUM ET ANALGESIQUES
A03DA05	CAMYLOFINE ET ANALGESIQUES
A03DA06	TROSPIUM ET ANALGESIQUES
A03DA07	TIEMONIUM IODURE ET ANALGESIQUES
A03DB	BELLADONE ET DERIVES EN ASSOCIATION AVEC DES ANALGESIQUES
A03DB04	BUTYLSCOPOLAMINE ET ANALGESIQUES
A03DC	AUTRES ANTISPASMODIQUES EN ASSOCIATION AVEC DES ANALGESIQUES
A03E	ANTISPASMODIQUES ET ANTICHOLINERGIQUES EN ASSOCIATION AVEC D'AUTRES MEDICAMENTS
A03EA	ANTISPASMODIQUES, PSYCHOLEPTIQUES ET ANALGESIQUES EN ASSOCIATION
A03ED	ANTISPASMODIQUES EN ASSOCIATION AVEC D'AUTRES MEDICAMENTS
A03F	STIMULANTS DE LA MOTRICITE INTESTINALE
A03FA	STIMULANTS DE LA MOTRICITE INTESTINALE
A03FA01	METOCLOPRAMIDE
A03FA02	CISAPRIDE
A03FA03	DOMPERIDONE
A03FA04	BROMOPRIDE
A03FA05	ALIZAPRIDE
A03FA06	CLEBOPRIDE
A03FA07	ITROPIDE
A04	ANTIEMETIQUES ET ANTINAUSEEUX
A04A	ANTIEMETIQUES ET ANTINAUSEEUX
A04AA	ANTAGONISTES DE LA SEROTONINE (5HT3)
A04AA01	ONDANSETRON
A04AA02	GRANISETRON
A04AA03	TROPISETRON
A04AA04	DOLASETRON
A04AA05	PALONOSETRON
A04AA55	PALONOSETRON EN ASSOCIATION
A04AD	AUTRES ANTIEMETIQUES
A04AD01	SCOPOLAMINE
A04AD02	CERIUM OXALATE
A04AD04	CHLOROBUTANOL
A04AD05	METOPIMAZINE
A04AD10	DRONABINOL
A04AD11	NABILONE
A04AD12	APREPITANT
A04AD13	CASOPITANT
A04AD51	SCOPOLAMINE EN ASSOCIATION
A04AD54	CHLOROBUTANOL EN ASSOCIATION
A05	THERAPEUTIQUE HEPATIQUE ET BILIAIRE
A05A	THERAPEUTIQUE BILIAIRE
A05AA	ACIDES BILIAIRES
A05AA01	CHENODESOXYCHOLIQUE ACIDE
A05AA02	URSODESOXYCHOLIQUE ACIDE
A05AA03	CHOLIQUE ACIDE
A05AB	MEDICAMENTS DU TRACTUS BILIAIRE
A05AB01	NICOTINYL METHYLAMIDE
A05AX	AUTRES MEDICAMENTS POUR LA THERAPEUTIQUE BILIAIRE
A05AX01	PIPROZOLINE
A05AX02	HYMECROMONE
A05AX03	CYCLOBUTYROL
A05B	THERAPEUTIQUE HEPATIQUE, LIPOTROPIQUES
A05BA	THERAPEUTIQUE HEPATIQUE
A05BA01	ARGININE GLUTAMATE
A05BA03	SILYMARINE
A05BA04	CITIOLONE
A05BA05	EPOMEDIOL
A05BA06	ORNITHINE OXOGLUTARATE
A05BA07	TIDIACIC ARGININE
A05BA08	ACIDE GLYCYRRHIZIQUE
A05C	MEDICAMENTS POUR LA THERAPEUTIQUE BILIAIRE ET LIPOTROPIQUES EN ASSOCIATION
A06	MEDICAMENTS DE LA CONSTIPATION
A06A	MEDICAMENTS DE LA CONSTIPATION
A06AA	LAXATIFS LUBRIFIANTS
A06AA01	HUILE DE PARAFFINE
A06AA02	DOCUSATE SODIQUE
A06AA51	HUILE DE PARAFFINE EN ASSOCIATION
A06AB	LAXATIFS STIMULANTS
A06AB01	OXYPHENISATINE
A06AB02	BISACODYL
A06AB03	DANTRON
A06AB04	PHENOLPHTALEINE
A06AB05	HUILE DE RICIN
A06AB06	GLYCOSIDES DE SENE
A06AB07	CASCARA
A06AB08	SODIUM PICOSULFATE
A06AB09	BISOXATIN
A06AB20	LAXATIFS STIMULANTS EN ASSOCIATION
A06AB30	LAXATIFS STIMULANTS EN ASSOCIATION AVEC DES ALCALOIDES DE LA BELLADONE
A06AB52	BISACODYL EN ASSOCIATION
A06AB53	DANTRON EN ASSOCIATION
A06AB56	GLYCOSIDES DE SENE EN ASSOCIATION
A06AB57	CASCARA EN ASSOCIATION
A06AB58	SODIUM PICOSULFATE EN ASSOCIATION
A06AC	LAXATIFS DE LEST
A06AC01	ISPAGHUL (GRAINES DE PSYLLIUM)
A06AC02	ETHULOSE
A06AC03	STERCULIA
A06AC05	LIN GRAINE
A06AC06	METHYLCELLULOSE
A06AC07	TRITICUM (FIBRES DE BLE)
A06AC08	POLYCARBOPHIL CALCIUM
A06AC51	ISPAGHUL EN ASSOCIATION
A06AC53	STERCULIA EN ASSOCIATION
A06AC55	LIN GRAINE EN ASSOCIATION
A06AD	LAXATIFS OSMOTIQUES
A06AD01	MAGNESIUM CARBONATE
A06AD02	MAGNESIUM OXYDE
A06AD03	MAGNESIUM PEROXYDE
A06AD04	MAGNESIUM SULFATE
A06AD10	SELS MINERAUX EN ASSOCIATION
A06AD11	LACTULOSE
A06AD12	LACTITOL
A06AD13	SODIUM SULFATE
A06AD14	PENTAERITHRITYL TETRANITRATE
A06AD15	MACROGOL
A06AD16	MANNITOL
A06AD17	SODIUM PHOSPHATE
A06AD18	SORBITOL
A06AD19	MAGNESIUM CITRATE
A06AD21	SODIUM TARTRATE
A06AD61	LACTULOSE EN ASSOCIATION
A06AD65	MACROGOL EN ASSOCIATION
A06AG	LAVEMENTS
A06AG01	SODIUM PHOSPHATE
A06AG02	BISACODYL
A06AG03	DANTRON, ASSOCIATIONS INCLUSES
A06AG04	GLYCEROL
A06AG06	HUILE
A06AG07	SORBITOL
A06AG10	DOCUSATE SODIQUE, ASSOCIATIONS INCLUSES
A06AG11	LAURYLSULFATE, ASSOCIATIONS INCLUSES
A06AG20	ASSOCIATIONS
A06AH	ANTAGONISTES DE RECEPTEURS OPIOIDES PERIPHERIQUES
A06AH01	METHYLNALTREXONE BROMURE
A06AH02	ALVIMOPAN
A06AH03	NALOXEGOL
A06AX	AUTRES MEDICAMENTS DE LA CONSTIPATION
A06AX01	GLYCEROL
A06AX02	MEDICAMENTS PRODUISANT DE L'ANHYDRIDE CARBONIQUE
A06AX03	LUBIPROSTONE
A06AX04	LINACLOTIDE
A06AX05	PRUCALOPRIDE
A06AX06	TEGASEROD
A07	ANTIDIARRHEIQUES, ANTIINFLAMMATOIRES ET ANTI-INFECTIEUX INTESTINAUX
A07A	ANTIINFECTIEUX INTESTINAUX
A07AA	ANTIBIOTIQUES
A07AA01	NEOMYCINE
A07AA02	NYSTATINE
A07AA03	NATAMYCINE
A07AA04	STREPTOMYCINE
A07AA05	POLYMYXINE
A07AA06	PAROMOMYCINE
A07AA07	AMPHOTERICINE B
A07AA08	KANAMYCINE
A07AA09	VANCOMYCINE
A07AA10	COLISTINE
A07AA11	RIFAXIMINE
A07AA12	FIDAXOMICINE
A07AA51	NEOMYCINE EN ASSOCIATION
A07AA54	STREPTOMYCINE EN ASSOCIATION
A07AB	SULFAMIDES
A07AB02	PHTHALYLSULFATHIAZOLE
A07AB03	SULFAGUANIDINE
A07AB04	SUCCINYLSULFATHIAZOL
A07AC	DERIVES IMIDAZOLES
A07AC01	MICONAZOLE
A07AX	AUTRES ANTIINFECTIEUX INTESTINAUX
A07AX01	BROXYQUINOLINE
A07AX02	ACETARSOL
A07AX03	NIFUROXAZIDE
A07AX04	NIFURZIDE
A07B	ADSORBANTS INTESTINAUX
A07BA	PREPARATIONS A BASE DE CHARBON
A07BA01	CHARBON MEDICINAL
A07BA51	CHARBON MEDICINAL EN ASSOCIATION
A07BB	PREPARATIONS A BASE DE BISMUTH
A07BC	AUTRES ADSORBANTS INTESTINAUX
A07BC01	PECTINE
A07BC02	KAOLIN
A07BC03	CROSPOVIDONE
A07BC04	ATTAPULGITE
A07BC05	DIOSMECTITE
A07BC30	ASSOCIATIONS
A07BC54	ATTAPULGITE EN ASSOCIATION
A07C	ELECTROLYTES ET HYDRATES DE CARBONE
A07CA	PREPARATIONS SALINES POUR REHYDRATATION ORALE
A07D	RALENTISSEURS DE LA MOTRICITE INTESTINALE
A07DA	RALENTISSEURS DE LA MOTRICITE INTESTINALE
A07DA01	DIPHENOXYLATE
A07DA02	OPIUM
A07DA03	LOPERAMIDE
A07DA04	DIFENOXINE
A07DA05	LOPERAMIDE OXYDE
A07DA52	MORPHINE EN ASSOCIATION
A07DA53	LOPERAMIDE EN ASSOCIATION
A07E	ANTIINFLAMMATOIRES INTESTINAUX
A07EA	CORTICOÏDES A USAGE LOCAL
A07EA01	PREDNISOLONE
A07EA02	HYDROCORTISONE
A07EA03	PREDNISONE
A07EA04	BETAMETHASONE
A07EA05	TIXOCORTOL
A07EA06	BUDESONIDE
A07EA07	BECLOMETASONE
A07EB	ANTIALLERGIQUES, CORTICOIDES EXCLUS
A07EB01	CROMOGLICIQUE ACIDE
A07EC	ACIDE AMINOSALICYLIQUE ET ANALOGUES
A07EC01	SULFASALAZINE
A07EC02	MESALAZINE
A07EC03	OLSALAZINE
A07EC04	BALSALAZIDE
A07F	MICROORGANISMES ANTIDIARRHEIQUES
A07FA	MICROORGANISMES ANTIDIARRHEIQUES
A07FA01	MICROORGANISMES PRODUISANT DE L'ACIDE LACTIQUE
A07FA02	SACCHAROMYCES BOULARDII
A07FA51	MICROORGANISMES PRODUISANT DE L'ACIDE LACTIQUE EN ASSOCIATION
A07X	AUTRES ANTIDIARRHEIQUES
A07XA	AUTRES ANTIDIARRHEIQUES
A07XA01	ALBUMINE TANNATE
A07XA02	CERATONIA
A07XA03	DERIVES CALCIQUES
A07XA04	RACECADOTRIL
A07XA51	TANIN ALBUMINATE EN ASSOCIATION
A08	PREPARATIONS CONTRE L'OBESITE, PRODUITS DE REGIME EXCLUS
A08A	PREPARATIONS CONTRE L'OBESITE, PRODUITS DE REGIME EXCLUS
A08AA	MEDICAMENTS CONTRE L'OBESITE A ACTION CENTRALE
A08AA01	PHENTERMINE
A08AA02	FENFLURAMINE
A08AA03	AMFEPRAMONE
A08AA04	DEXFENFLURAMINE
A08AA05	MAZINDOL
A08AA06	ETILAMFETAMINE
A08AA07	CATHINE
A08AA08	CLOBENZOREX
A08AA09	MEFENOREX
A08AA10	SIBUTRAMINE
A08AA11	LORCASERINE
A08AA56	EPHEDRINE EN ASSOCIATION
A08AB	MEDICAMENTS CONTRE L'OBESITE A ACTION PERIPHERIQUE
A08AB01	ORLISTAT
A08AX	AUTRES PRODUITS CONTRE L'OBESITE
A08AX01	RIMONABANT
A09	MEDICAMENTS DE LA DIGESTION, ENZYMES INCLUSES
A09A	MEDICAMENTS DE LA DIGESTION, ENZYMES INCLUSES
A09AA	PREPARATIONS ENZYMATIQUES
A09AA01	DIASTASE
A09AA02	MULTIENZYMES (LIPASE, PROTEASE...)
A09AA03	PEPSINE
A09AA04	TILACTASE
A09AB	PREPARATIONS ACIDES
A09AB01	GLUTAMIQUE ACIDE CHLORHYDRATE
A09AB02	BETAÏNE CHLORHYDRATE
A09AB03	CHLORHYDRIQUE ACIDE
A09AB04	CITRIQUE ACIDE
A09AC	ENZYMES ET PREPARATIONS ACIDES EN ASSOCIATION
A09AC01	PEPSINE ET PREPARATIONS ACIDES
A09AC02	ENZYMES ET PREPARATIONS ACIDES
A10	MEDICAMENTS DU DIABETE
A10A	INSULINES ET ANALOGUES
A10AB	INSULINES ET ANALOGUES D'ACTION RAPIDE PAR VOIE INJECTABLE
A10AB01	INSULINE HUMAINE
A10AB02	INSULINE BOVINE
A10AB03	INSULINE PORCINE
A10AB04	INSULINE LISPRO
A10AB05	INSULINE ASPARTE
A10AB06	INSULINE GLULISINE
A10AB30	ASSOCIATIONS
A10AC	INSULINES ET ANALOGUES D'ACTION INTERMEDIAIRE PAR VOIE INJECTABLE
A10AC01	INSULINE HUMAINE
A10AC02	INSULINE BOVINE
A10AC03	INSULINE PORCINE
A10AC04	INSULINE LISPRO
A10AC30	ASSOCIATIONS
A10AD	INSULINES ET ANALOGUES D'ACTION INTERMEDIAIRE OU D'ACTION LENTE ET A DEBUT D'ACTION RAPIDE PAR VOIE INJECTABLE
A10AD01	INSULINE HUMAINE
A10AD02	INSULINE BOVINE
A10AD03	INSULINE PORCINE
A10AD04	INSULINE LISPRO
A10AD05	INSULINE ASPARTE
A10AD06	INSULINE DEGLUDEC ET INSULINE ASPARTE
A10AD30	ASSOCIATIONS
A10AE	INSULINES ET ANALOGUES D'ACTION LENTE PAR VOIE INJECTABLE
A10AE01	INSULINE HUMAINE
A10AE02	INSULINE BOVINE
A10AE03	INSULINE PORCINE
A10AE04	INSULINE GLARGINE
A10AE05	INSULINE DETEMIR
A10AE06	INSULINE DEGLUDEC
A10AE30	ASSOCIATIONS
A10AF	INSULINES ET ANALOGUES, PAR INHALATION
A10AF01	INSULINE HUMAINE
A10B	ANTIDIABETIQUES SAUF INSULINES
A10BA	BIGUANIDES
A10BA01	PHENFORMINE
A10BA02	METFORMINE
A10BA03	BUFORMINE
A10BB	SULFAMIDES, DERIVES DE L'UREE
A10BB01	GLIBENCLAMIDE
A10BB02	CHLORPROPAMIDE
A10BB03	TOLBUTAMIDE
A10BB04	GLIBORNURIDE
A10BB05	TOLAZAMIDE
A10BB06	CARBUTAMIDE
A10BB07	GLIPIZIDE
A10BB08	GLIQUIDONE
A10BB09	GLICLAZIDE
A10BB10	METAHEXAMIDE
A10BB11	GLISOXEPIDE
A10BB12	GLIMEPIRIDE
A10BB31	ACETOHEXAMIDE
A10BC	SULFAMIDES (HETEROCYCLES)
A10BC01	GLYMIDINE
A10BD	ASSOCIATIONS D'HYPOGLYCEMIANTS ORAUX
A10BD01	PHENFORMINE ET SULFAMIDES
A10BD02	METFORMINE ET SULFAMIDES
A10BD03	METFORMINE ET ROSIGLITAZONE
A10BD04	GLIMEPIRIDE ET ROSIGLITAZONE
A10BD05	METFORMINE ET PIOGLITAZONE
A10BD06	GLIMEPIRIDE ET PIOGLITAZONE
A10BD07	METFORMINE ET SITAGLIPTINE
A10BD08	METFORMINE ET VILDAGLIPTINE
A10BD09	ALGOGLIPTINE ET PIOGLITAZONE
A10BD10	METFORMINE ET SAXAGLIPTINE
A10BD11	METFORMINE ET LINAGLIPTINE
A10BD12	PIOGLITAZONE ET SITAGLIPTINE
A10BD13	METFORMINE ET ALOGLIPTINE
A10BD14	METFORMINE ET REPAGLINIDE
A10BD15	METFORMINE ET DAPAGLIFLOZINE
A10BD16	METFORMINE ET CANAGLIFLOZINE
A10BD17	METFORMINE ET ACARBOSE
A10BF	INHIBITEURS DE L'ALPHA GLUCOSIDASE
A10BF01	ACARBOSE
A10BF02	MIGLITOL
A10BF03	VOGLIBOSE
A10BG	THIAZOLINEDIONES
A10BG01	TROGLITAZONE
A10BG02	ROSIGLITAZONE
A10BG03	PIOGLITAZONE
A10BH	INHIBITEURS DE LA DIPEPTIDYL PEPTIDASE 4 (DPP-4) 
A10BH01	SITAGLIPTINE
A10BH02	VILDAGLIPTINE
A10BH03	SAXAGLIPTINE
A10BH04	ALOGLIPTINE
A10BH05	LINAGLIPTINE
A10BH06	GEMIGLIPTINE
A10BH51	SITAGLIPTINE ET SIMVASTATINE
A10BX	AUTRES ANTIDIABETIQUES SAUF INSULINES
A10BX01	GUAR GOMME
A10BX02	REPAGLINIDE
A10BX03	NATEGLINIDE
A10BX04	EXENATIDE
A10BX05	PRAMLINTIDE
A10BX06	BENFLUOREX
A10BX07	LIRAGLUTIDE
A10BX08	MITIGLINIDE
A10BX09	DAPAGLIFLOZINE
A10BX10	LIXISENATIDE
A10BX11	CANAGLIFLOZINE
A10BX12	EMPAGLIFLOZINE
A10BX13	ALBIGLUTIDE
A10X	AUTRES MEDICAMENTS DU DIABETE
A10XA	INHIBITEURS DE L'ALDOSE REDUCTASE
A10XA01	TOLRESTAT
A11	VITAMINES
A11A	POLYVITAMINES EN ASSOCIATION
A11AA	POLYVITAMINES AVEC ELEMENTS MINERAUX
A11AA01	POLYVITAMINES ET FER
A11AA02	POLYVITAMINES ET CALCIUM
A11AA03	POLYVITAMINES ET AUTRES ELEMENTS MINERAUX, ASSOCIATIONS INCLUSES
A11AA04	POLYVITAMINES ET OLIGO-ELEMENTS
A11AB	POLYVITAMINES, AUTRES ASSOCIATIONS
A11B	POLYVITAMINES NON ASSOCIEES
A11BA	POLYVITAMINES SEULES
A11C	VITAMINES A ET D, ASSOCIATIONS DES DEUX INCLUSES
A11CA	VITAMINE A NON ASSOCIEE
A11CA01	RETINOL (VIT A)
A11CA02	BETACAROTENE
A11CB	VITAMINES A ET D EN ASSOCIATION
A11CC	VITAMINE D ET ANALOGUES
A11CC01	ERGOCALCIFEROL
