Chapitre du thésaurus	Code CIM10	Libellé du thésaurus
Intoxication et toxicomanie	F15.0	Intoxication aiguë par d'autres stimulants
Intoxication et toxicomanie	F15.2	Problème de dépendance à d'autres stimulants
Intoxication et toxicomanie	F15.3	Syndrôme de sevrage sans délirium d'une intoxication à d'autres stimulants
Intoxication et toxicomanie	F15.4	Syndrôme de sevrage avec délirium d'une intoxication à d'autres stimulants
Intoxication et toxicomanie	F16.0	Intoxication aiguë à d'autres substances hallucinogènes
Intoxication et toxicomanie	F16.2	Problème de dépendance à d'autres substances hallucinogènes
Intoxication et toxicomanie	F16.3	Syndrôme de sevrage sans délirium d'une intoxication à d'autres substances hallucinogènes
Intoxication et toxicomanie	F16.4	Syndrôme de sevrage avec délirium d'une intoxication à d'autres substances hallucinogènes
Psychiatrie et troubles psychologiques	F20.9	Schizophrénie SAI
Psychiatrie et troubles psychologiques	F23.0	Bouffée délirante SAI
Psychiatrie et troubles psychologiques	F30.9	Episode maniaque SAI
Psychiatrie et troubles psychologiques	F32.9	Dépression SAI
Psychiatrie et troubles psychologiques	F41.0	Anxiété panique
Psychiatrie et troubles psychologiques	F41.9	Anxiété SAI
Psychiatrie et troubles psychologiques	F44.9	Hystérie SAI
Psychiatrie et troubles psychologiques	F45.9	Trouble psychosomatique
Psychiatrie et troubles psychologiques	F50.0	Anorexie mentale
Psychiatrie et troubles psychologiques	F51.9	Trouble du sommeil d'origine psychogène
Psychiatrie et troubles psychologiques	F60.3	Agressivité
Neurologie	G00.9	Méningite bactérienne
Neurologie	G03.9	Méningite SAI
Neurologie	G20	Parkinson, maladie 
Neurologie	G24.0	Dystonie médicamenteuse
Neurologie	G24.9	Dystonie, dyskinésie
Neurologie	G31.2	Encéphalopathie alcoolique
Neurologie	G35	Sclérose en plaque SAI
Neurologie	G40.9	Epilepsie SAI
Neurologie	G41.9	Epilepsie état de mal SAI 
Neurologie	G44.0	Algie vasculaire de la face
Neurologie	G44.2	Céphalée de tension
Neurologie	G45.3	Amaurose fugace
Neurologie	G45.4	Amnésie fugace, Ictus amnésique
Neurologie	G45.9	Accident Ischémique Transitoire   SAI 
Neurologie	G50.0	Névralgie du trijumeau
Neurologie	G51.0	Paralysie faciale à frigore
Neurologie	G51.9	Paralysie faciale SAI
Rhumatologie	G56.0	Syndrôme du canal carpien
Rhumatologie	G58.0	Névralgie intercostale
Neurologie	G62.9	Polynévrite SAI
Neurologie	G70.0	Myasthénie
Neurologie	G81.9	Hémiplégie SAI
Neurologie	G83.4	Syndrôme de la queue de cheval
Neurologie	G83.9	Syndrôme paralytique SAI
Neurologie	G91.2	Hydrocéphalie à pression normale
Neurologie	G92	Encéphalopathie toxique
Neurologie	G93.4	Encéphalopathie SAI 
Neurologie	G93.6	Oedeme cérébral non traumatique
Neurologie	G97.1	Syndrôme post ponction lombaire
Ophtalmologie	H00.0	Orgelet
Ophtalmologie	H00.1	Chalazion
Ophtalmologie	H04.3	Dacryocystite SAI
Ophtalmologie	H10.0	Conjonctivite purulente
Ophtalmologie	H10.3	Conjonctivite aiguë   SAI
Ophtalmologie	H11.3	Hémorragie conjonctivale
Ophtalmologie	H16.0	Ulcère cornéen
Ophtalmologie	H16.9	Kératite SAI
Ophtalmologie	H20.9	Uveite SAI
Ophtalmologie	H33.2	Décollement de rétine
Ophtalmologie	H34.9	Occlusion vasculaire de rétine SAI
Ophtalmologie	H40.9	Glaucome
Ophtalmologie	H53.9	Trouble de la vision SAI
Ophtalmologie	H57.1	Douleur oculaire
ORL et stomatologie	H60.9	Otite externe SAI
ORL et stomatologie	H61.2	Bouchon de cérumen
ORL et stomatologie	H66.9	Otite moyenne SAI
ORL et stomatologie	H70.0	Mastoïdite aiguë
ORL et stomatologie	H73.0	Myringite aiguë
ORL et stomatologie	H81.0	Maladie de Ménière
ORL et stomatologie	H81.1	Vertige bénin paroxystique
ORL et stomatologie	H81.3	Vertige. périphérique SAI
Neurologie	H81.4	Vertige central 
ORL et stomatologie	H91.2	Surdité brutale
ORL et stomatologie	H92.0	Otalgie
ORL et stomatologie	H92.2	Otorragie
ORL et stomatologie	H93.1	Acouphènes
Cardio-vasculaire	I10	Hypertension essentielle, poussée
Cardio-vasculaire	I20.0	Angor instable
Cardio-vasculaire	I20.8	Angor d'effort
Cardio-vasculaire	I20.9	Angor SAI
Cardio-vasculaire	I21.9	Infarctus du myocarde SAI
Cardio-vasculaire	I26.9	Embolie pulmonaire SAI
Cardio-vasculaire	I30.1	Péricardite infectieuse
Cardio-vasculaire	I44.2	Bloc auriculo-ventriculaire complet
Cardio-vasculaire	I45.9	Trouble de la conduction SAI
Cardio-vasculaire	I46.9	Arrêt cardiaque SAI
Cardio-vasculaire	I47.1	Tachycardie supraventriculaire
Cardio-vasculaire	I47.2	Tachycardie ventriculaire
Cardio-vasculaire	I48	Fibrillation, flutter auriculaire
Cardio-vasculaire	I49.0	Fibrillation, flutter ventriculaire
Cardio-vasculaire	I49.1	Extrasystoles supraventriculaires
Cardio-vasculaire	I49.3	Extrasystoles ventriculaires
Cardio-vasculaire	I49.9	Arythmie cardiaque SAI
Cardio-vasculaire	I50.0	Insuffisance cardiaque droite
Cardio-vasculaire	I50.1	Insuffisance cardiaque gauche
Cardio-vasculaire	I50.9	Insuffisance cardiaque globale
Neurologie	I60.8	Hémorragie méningée
Neurologie	I62.9	Accident vasculaire cérébral hémorragique
Neurologie	I63.9	Accident vasculaire cérébral ischémique
Neurologie	I64	Accident vasculaire cérébral SAI
Cardio-vasculaire	I70.2	Artériopathie oblitérante des membres inférieurs
Cardio-vasculaire	I71.0	Dissection aortique
Cardio-vasculaire	I71.9	Anévrysme aortique SAI
Cardio-vasculaire	I74.3	Ischémie artérielle aiguë des membres inférieurs
Cardio-vasculaire	I80.9	Phlébite de membre SAI
Dermatologie	I83.0	Ulcère variqueux de membre
Cardio-vasculaire	I83.9	Varices de membre non ulcérées
Hépato-gastro-entérologie	I84.9	Hémorroïde SAI
Hépato-gastro-entérologie	I85.0	Varices oesophagiennes hémorragiques
Hépato-gastro-entérologie	I88.0	Lymphadénite mésentérique
Cardio-vasculaire	I89.0	Lymphoedeme
Cardio-vasculaire	I89.1	Lymphangite
Cardio-vasculaire	I95.1	Hypotension orthostatique
ORL et stomatologie	J00	Rhinopharyngite 
ORL et stomatologie	J01.9	Sinusite aiguë SAI
ORL et stomatologie	J02.9	Angine SAI
ORL et stomatologie	J04.0	Laryngite aiguë 
Pneumologie	J04.1	Trachéite SAI
ORL et stomatologie	J05.1	Epiglotitte aiguë SAI
Infectiologie générale et cutanée	J11.1	Grippe SAI
Pneumologie	J12.9	Pneumopathie virale 
Pneumologie	J15.9	Pneumopathie bactérienne
Pneumologie	J18.9	Pneumopathie SAI
Pneumologie	J20.9	Bronchite aiguë SAI
Pneumologie	J21.9	Bronchiolite SAI
ORL et stomatologie	J30.4	Rhinite allergique 
ORL et stomatologie	J32.9	Sinusite chronique 
ORL et stomatologie	J36	Angine phlegmoneuse 
ORL et stomatologie	J38.5	Spasme laryngé
ORL et stomatologie	J39.0	Abcès rétropharyngé
Pneumologie	J45.9	Asthme SAI 
Pneumologie	J46	Etat de mal asthmatique
Pneumologie	J68.9	Trouble respiratoire SAI dû à des émanations, gaz, fumées, ou agents chimiques
Pneumologie	J69.0	Pneumopathie d’inhalation
Pneumologie	J84.9	Pneumopathie interstitielle
Pneumologie	J90	Pleurésie
Pneumologie	J93.9	Pneumothorax non traumatique
Pneumologie	J96.0	Détresse respiratoire
Pneumologie	J96.1	Insuffisance respiratoire chronique
ORL et stomatologie	K02.9	Caries dentaires SAI
ORL et stomatologie	K04.0	Abcès dentaire
ORL et stomatologie	K05.1	Gingivite aiguë SAI
ORL et stomatologie	K07.6	Articulation temporo-mandibulaire (dysfonction)
ORL et stomatologie	K08.8	Douleur dentaire
ORL et stomatologie	K11.2	Sialoadénite
ORL et stomatologie	K11.5	Sialolithiase
ORL et stomatologie	K12.1	Stomatite 
Hépato-gastro-entérologie	K20	Oesophagite SAI
Hépato-gastro-entérologie	K21.9	Reflux gastro-oesophagien
Hépato-gastro-entérologie	K22.6	Syndrôme de Mallory-Weiss
Hépato-gastro-entérologie	K27.4	Ulcère gastro-duodénal hémorragique
Hépato-gastro-entérologie	K27.9	Ulcère gastro-duodénal sans précision 
Hépato-gastro-entérologie	K29.7	Gastrite SAI
Hépato-gastro-entérologie	K30	Dyspepsie
Hépato-gastro-entérologie	K35.9	Appendicite SAI
Hépato-gastro-entérologie	K46.0	Hernie abdominale occluse
Hépato-gastro-entérologie	K46.9	Hernie abdominale non occluse
Hépato-gastro-entérologie	K51.9	Rectocolite hémorragique, poussée
Hépato-gastro-entérologie	K52.9	Diarrhée
Hépato-gastro-entérologie	K55.0	Infarctus du mésentère
Hépato-gastro-entérologie	K56.1	Invagination intestinale aiguë
Hépato-gastro-entérologie	K56.2	Volvulus du grêle
Hépato-gastro-entérologie	K56.4	Fécalome
Hépato-gastro-entérologie	K56.6	Occlusion intestinale SAI
Hépato-gastro-entérologie	K57.3	Sigmoïdite diverticulaire
Hépato-gastro-entérologie	K59.0	Constipation
Hépato-gastro-entérologie	K59.9	Colopathie fonctionnelle
Hépato-gastro-entérologie	K60.2	Fissure anale
Hépato-gastro-entérologie	K61.0	Abcés anal
Hépato-gastro-entérologie	K62.3	Prolapsus rectal
Hépato-gastro-entérologie	K62.5	Rectorragie
Hépato-gastro-entérologie	K62.9	Proctologie SAI
Hépato-gastro-entérologie	K65.0	Péritonite aiguë
Hépato-gastro-entérologie	K66.1	Hémopéritoine 
Hépato-gastro-entérologie	K66.8	Pneumopéritoine
Hépato-gastro-entérologie	K70.1	Hépatite alcoolique
Hépato-gastro-entérologie	K71.9	Hépatite médicamenteuse
Hépato-gastro-entérologie	K72.9	Hépatite SAI
Hépato-gastro-entérologie	K80.2	Lithiase de la vésicule ou des voies biliaires SAI
Hépato-gastro-entérologie	K81.0	Cholecystite non lithiasique
Hépato-gastro-entérologie	K83.0	Angiocholite non lithiasiaque
Hépato-gastro-entérologie	K85	Pancréatite aiguë SAI
Hépato-gastro-entérologie	K86.1	Pancréatite chronique SAI
Hépato-gastro-entérologie	K91.4	Stomie intestinale ou colique (problème de)
Hépato-gastro-entérologie	K92.0	Hématémèse
Hépato-gastro-entérologie	K92.1	Mélaena
Hépato-gastro-entérologie	K92.2	Hémorragie digestive occulte
Infectiologie générale et cutanée	L01.0	Impétigo
Infectiologie générale et cutanée	L02.9	Abcés cutané SAI, furoncle SAI
Infectiologie générale et cutanée	L03.0	Phlegmon doigt, orteil
Infectiologie générale et cutanée	L03.2	Phlegmon face
Infectiologie générale et cutanée	L03.9	Phlegmon cutané   SAI
Dermatologie	L05.9	Kyste du sinus pilonidal
Dermatologie	L13.9	Dermite bulleuse SAI
Dermatologie	L20.9	Dermite atopique SAI
Dermatologie	L25.9	Dermite de contact SAI
Dermatologie	L27.9	Dermite dûe à une substance prise par voie interne
Dermatologie	L29.9	Prurit
Dermatologie	L50.9	Urticaire SAI
Dermatologie	L55.9	Coup de soleil SAI
Dermatologie	L60.0	Ongle incarné
Dermatologie	L72.1	Kyste sébacé
Dermatologie	L89	Escarre
Rhumatologie	M00.90	Arthrite infectieuse SAI , sièges multiples
Rhumatologie	M00.91	Arthrite infectieuse SAI , région scapulaire
Rhumatologie	M00.92	Arthrite infectieuse SAI , coude
Rhumatologie	M00.93	Arthrite infectieuse SAI , poignet
Rhumatologie	M00.94	Arthrite infectieuse SAI , main
Rhumatologie	M00.95	Arthrite infectieuse SAI , hanche
Rhumatologie	M00.96	Arthrite infectieuse SAI , genou
Rhumatologie	M00.97	Arthrite infectieuse SAI , cheville,pied
Rhumatologie	M00.98	Arthrite infectieuse SAI , autre
Rhumatologie	M00.99	Arthrite infectieuse SAI , siège non précisé
Rhumatologie	M06.90	Polyarthrite rhumatoïde SAI , sièges multiples
Rhumatologie	M06.91	Polyarthrite rhumatoïde SAI , région scapulaire
Rhumatologie	M06.92	Polyarthrite rhumatoïde SAI , coude
Rhumatologie	M06.93	Polyarthrite rhumatoïde SAI , poignet
Rhumatologie	M06.94	Polyarthrite rhumatoïde SAI , main
Rhumatologie	M06.95	Polyarthrite rhumatoïde SAI , hanche
Rhumatologie	M06.96	Polyarthrite rhumatoïde SAI , genou
Rhumatologie	M06.97	Polyarthrite rhumatoïde SAI , cheville,pied
Rhumatologie	M06.98	Polyarthrite rhumatoïde SAI , autre
Rhumatologie	M06.99	Polyarthrite rhumatoïde SAI , siège non précisé
Rhumatologie	M10.90	Goutte , sièges multiples
Rhumatologie	M10.91	Goutte , région scapulaire
Rhumatologie	M10.92	Goutte , coude
Rhumatologie	M10.93	Goutte , poignet
Rhumatologie	M10.94	Goutte , main
Rhumatologie	M10.95	Goutte , hanche
Rhumatologie	M10.96	Goutte , genou
Rhumatologie	M10.97	Goutte , cheville,pied
Rhumatologie	M10.98	Goutte , autre
Rhumatologie	M10.99	Goutte , siège non précisé
Rhumatologie	M11.20	Chondrocalcinose , sièges multiples
Rhumatologie	M11.21	Chondrocalcinose , région scapulaire
Rhumatologie	M11.22	Chondrocalcinose , coude
Rhumatologie	M11.23	Chondrocalcinose , poignet
Rhumatologie	M11.24	Chondrocalcinose , main
Rhumatologie	M11.25	Chondrocalcinose , hanche
Rhumatologie	M11.26	Chondrocalcinose , genou
Rhumatologie	M11.27	Chondrocalcinose , cheville,pied
Rhumatologie	M11.28	Chondrocalcinose , autre
Rhumatologie	M11.29	Chondrocalcinose , siège non précisé
Rhumatologie	M11.90	Arthrite micro-cristalline SAI , sièges multiples
Rhumatologie	M11.91	Arthrite micro-cristalline SAI , région scapulaire
Rhumatologie	M11.92	Arthrite micro-cristalline SAI , coude
Rhumatologie	M11.93	Arthrite micro-cristalline SAI , poignet
Rhumatologie	M11.94	Arthrite micro-cristalline SAI , main
Rhumatologie	M11.95	Arthrite micro-cristalline SAI , hanche
Rhumatologie	M11.96	Arthrite micro-cristalline SAI , genou
Rhumatologie	M11.97	Arthrite micro-cristalline SAI , cheville,pied
Rhumatologie	M11.98	Arthrite micro-cristalline SAI , autre
Rhumatologie	M11.99	Arthrite micro-cristalline SAI , siège non précisé
Rhumatologie	M13.90	Arthrites SAI , sièges multiples
Rhumatologie	M13.91	Arthrite SAI , région scapulaire
Rhumatologie	M13.92	Arthrite SAI , coude
Rhumatologie	M13.93	Arthrite SAI , poignet
Rhumatologie	M13.94	Arthrite SAI , main
Rhumatologie	M13.95	Arthrite SAI , hanche
Rhumatologie	M13.96	Arthrite SAI , genou
Rhumatologie	M13.97	Arthrite SAI , cheville,pied
Rhumatologie	M13.98	Arthrite SAI , autre
Rhumatologie	M13.99	Arthrite SAI , siège non précisé
Rhumatologie	M16.9	Coxarthrose SAI
Rhumatologie	M17.9	Gonarthose SAI
Rhumatologie	M18.9	Arthrose de l'articulation métacarpo-phallangienne du pouce
Rhumatologie	M19.90	Arthrose SAI , sièges multiples
Rhumatologie	M19.91	Arthrose SAI , région scapulaire
Rhumatologie	M19.92	Arthrose SAI , coude
Rhumatologie	M19.93	Arthrose SAI , poignet
Rhumatologie	M19.94	Arthrose SAI , main
Rhumatologie	M19.95	Arthrose SAI , hanche
Rhumatologie	M19.96	Arthrose SAI , genou
Rhumatologie	M19.97	Arthrose SAI , cheville,pied
Rhumatologie	M19.98	Arthrose SAI , autre
Rhumatologie	M19.99	Arthrose SAI , siège non précisé
Rhumatologie	M23.3	Syndrôme méniscal
Rhumatologie	M25.00	Hémarthrose , sièges multiples
Rhumatologie	M25.01	Hémarthrose , région scapulaire
Rhumatologie	M25.02	Hémarthrose , coude
Rhumatologie	M25.03	Hémarthrose , poignet
Rhumatologie	M25.04	Hémarthrose , main
Rhumatologie	M25.05	Hémarthrose , hanche
Rhumatologie	M25.06	Hémarthrose , genou
Rhumatologie	M25.07	Hémarthrose , cheville,pied
Rhumatologie	M25.08	Hémarthrose , autre
Rhumatologie	M25.09	Hémarthrose , siège non précisé
Rhumatologie	M25.40	Epanchement articulaire SAI , sièges multiples
Rhumatologie	M25.41	Epanchement articulaire SAI , région scapulaire
Rhumatologie	M25.42	Epanchement articulaire SAI , coude
Rhumatologie	M25.43	Epanchement articulaire SAI , poignet
Rhumatologie	M25.44	Epanchement articulaire SAI , main
Rhumatologie	M25.45	Epanchement articulaire SAI , hanche
Rhumatologie	M25.46	Epanchement articulaire SAI , genou
Rhumatologie	M25.47	Epanchement articulaire SAI , cheville,pied
Rhumatologie	M25.48	Epanchement articulaire SAI , autre
Rhumatologie	M25.49	Epanchement articulaire SAI , siège non précisé
Rhumatologie	M25.50	Arthralgies , sièges multiples
Rhumatologie	M25.51	Arthralgie , région scapulaire
Rhumatologie	M25.52	Arthralgie , coude
Rhumatologie	M25.53	Arthralgie , poignet
Rhumatologie	M25.54	Arthralgie , main
Rhumatologie	M25.55	Arthralgie , hanche
Rhumatologie	M25.56	Arthralgie , genou
Rhumatologie	M25.57	Arthralgie , cheville,pied
Rhumatologie	M25.58	Arthralgie , autre
Rhumatologie	M25.59	Arthralgie , siège non précisé
Rhumatologie	M43.6	Torticolis
Rhumatologie	M46.1	Sacroiliïte
Rhumatologie	M48.5	Tassement vertébral SAI
Rhumatologie	M50.1	Névralgie cervico-brachiale par atteinte discale
Rhumatologie	M51.1	Lomosciatique par atteinte discale
Rhumatologie	M51.2	Lumbago par atteinte discale
Rhumatologie	M53.1	Névralgie cervico-brachiale sans atteinte discale ou SAI
Rhumatologie	M54.2	Cervicalgie
Rhumatologie	M54.4	Lombo-sciatique sans atteinte discale ou SAI
Rhumatologie	M54.5	Lombalgie SAI
Rhumatologie	M54.62	Rachialgie cervicale
Rhumatologie	M54.64	Rachialgie dorsale
Rhumatologie	M54.66	Rachialgie lombaire
Rhumatologie	M54.9	Dorsalgie SAI
Infectiologie générale et cutanée	M60.0	Abcès musculaire SAI
Rhumatologie	M60.00	Abcès musculaire , sièges multiples
Rhumatologie	M60.01	Abcès musculaire , épaule
Rhumatologie	M60.02	Abcès musculaire , bras
Rhumatologie	M60.03	Abcès musculaire , avant bras
Rhumatologie	M60.04	Abcès musculaire , main
Rhumatologie	M60.05	Abcès musculaire , cuisse
Rhumatologie	M60.06	Abcès musculaire , jambe
Rhumatologie	M60.07	Abcès musculaire , pied
Rhumatologie	M60.08	Abcès musculaire , autre
Rhumatologie	M60.09	Abcès musculaire , siège non précisé
Rhumatologie	M60.90	Myosite SAI , sièges multiples
Rhumatologie	M60.91	Myosite SAI , épaule
Rhumatologie	M60.92	Myosite SAI , bras
Rhumatologie	M60.93	Myosite SAI , avant bras
Rhumatologie	M60.94	Myosite SAI , main
Rhumatologie	M60.95	Myosite SAI , cuisse
Rhumatologie	M60.96	Myosite SAI , jambe
Rhumatologie	M60.97	Myosite SAI , pied
Rhumatologie	M60.98	Myosite SAI , autre
Rhumatologie	M60.99	Myosite SAI , siège non précisé
Rhumatologie	M62.10	Déchirure musculaire , sièges multiples
Rhumatologie	M62.11	Déchirure musculaire , épaule
Rhumatologie	M62.12	Déchirure musculaire , bras
Rhumatologie	M62.13	Déchirure musculaire , avant bras
Rhumatologie	M62.14	Déchirure musculaire , main
Rhumatologie	M62.15	Déchirure musculaire , cuisse
Rhumatologie	M62.16	Déchirure musculaire , jambe
Rhumatologie	M62.17	Déchirure musculaire , pied
Rhumatologie	M62.18	Déchirure musculaire , autre
Rhumatologie	M62.19	Déchirure musculaire , siège non précisé
Rhumatologie	M62.20	Ischémie musculaire , sièges multiples
Rhumatologie	M62.21	Ischémie musculaire , épaule
Rhumatologie	M62.22	Ischémie musculaire , bras
Rhumatologie	M62.23	Ischémie musculaire , avant bras
Rhumatologie	M62.24	Ischémie musculaire , main
Rhumatologie	M62.25	Ischémie musculaire , cuisse
Rhumatologie	M62.26	Ischémie musculaire , jambe
Rhumatologie	M62.27	Ischémie musculaire , pied
Rhumatologie	M62.28	Ischémie musculaire , autre
Rhumatologie	M62.29	Ischémie musculaire , siège non précisé
Rhumatologie	M62.40	Contracture musculaire , sièges multiples
Rhumatologie	M62.41	Contracture musculaire , épaule
Rhumatologie	M62.42	Contracture musculaire , bras
Rhumatologie	M62.43	Contracture musculaire , avant bras
Rhumatologie	M62.44	Contracture musculaire , main
Rhumatologie	M62.45	Contracture musculaire , cuisse
Rhumatologie	M62.46	Contracture musculaire , jambe
Rhumatologie	M62.47	Contracture musculaire , pied
Rhumatologie	M62.48	Contracture musculaire , autre
Rhumatologie	M62.49	Contracture musculaire , siège non précisé
Rhumatologie	M62.60	Elongation, foulure musculaire , sièges multiples
Rhumatologie	M62.61	Elongation, foulure musculaire , épaule
Rhumatologie	M62.62	Elongation, foulure musculaire , bras
Rhumatologie	M62.63	Elongation, foulure musculaire , avant bras
Rhumatologie	M62.64	Elongation, foulure musculaire , main
Rhumatologie	M62.65	Elongation, foulure musculaire , cuisse
Rhumatologie	M62.66	Elongation, foulure musculaire , jambe
Rhumatologie	M62.67	Elongation, foulure musculaire , pied
Rhumatologie	M62.68	Elongation, foulure musculaire , autre
Rhumatologie	M62.69	Elongation, foulure musculaire , siège non précisé
Rhumatologie	M62.890	Rhabdomyolyse
Rhumatologie	M66.20	Déchirure spontannée d'un tendon extenseur , sièges multiples
Rhumatologie	M66.21	Déchirure spontannée d'un tendon extenseur , épaule
Rhumatologie	M66.22	Déchirure spontannée d'un tendon extenseur , bras
Rhumatologie	M66.23	Déchirure spontannée d'un tendon extenseur , avant bras
Rhumatologie	M66.24	Déchirure spontannée d'un tendon extenseur , main
Rhumatologie	M66.25	Déchirure spontannée d'un tendon extenseur , cuisse
Rhumatologie	M66.26	Déchirure spontannée d'un tendon extenseur , jambe
Rhumatologie	M66.27	Déchirure spontannée d'un tendon extenseur , pied
Rhumatologie	M66.28	Déchirure spontannée d'un tendon extenseur , autre
Rhumatologie	M66.29	Déchirure spontannée d'un tendon extenseur , siège non précisé
Rhumatologie	M66.30	Déchirure spontannée d'un tendon fléchisseur , sièges multiples
Rhumatologie	M66.31	Déchirure spontannée d'un tendon fléchisseur , épaule
Rhumatologie	M66.32	Déchirure spontannée d'un tendon fléchisseur , bras
Rhumatologie	M66.33	Déchirure spontannée d'un tendon fléchisseur , avant bras
Rhumatologie	M66.34	Déchirure spontannée d'un tendon fléchisseur , main
Rhumatologie	M66.35	Déchirure spontannée d'un tendon fléchisseur , cuisse
Rhumatologie	M66.36	Déchirure spontannée d'un tendon fléchisseur , jambe
Rhumatologie	M66.37	Déchirure spontannée d'un tendon fléchisseur , pied
Rhumatologie	M66.38	Déchirure spontannée d'un tendon fléchisseur , autre
Rhumatologie	M66.39	Déchirure spontannée d'un tendon fléchisseur , siège non précisé
Rhumatologie	M67.3	Synovite transitoire SAI
Rhumatologie	M71.2	Kyste synovial poplité
Rhumatologie	M71.30	Kyste synovial , sièges multiples
Rhumatologie	M71.31	Kyste synovial , région scapulaire
Rhumatologie	M71.32	Kyste synovial , coude
Rhumatologie	M71.33	Kyste synovial , poignet
